Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
1,する,,하다,,,,,,,,,,
2,ある,,있다,,,,,,,,,,
3,こと,,것,,,,,,,,,,
4,なる,,되다,,,,,,,,,,
5,それ,,그것,,,,,,,,,,
6,いる,,있다,,,,,,,,,,
7,思う,,생각하다.,,,,,,,,,,
8,この,,이것,,,,,,,,,,
9,その,,그것,,,,,,,,,,
10,言う,,말하다,,,,,,,,,,
11,ない,,없다,,,,,,,,,,
12,そう,,그렇다.,,,,,,,,,,
13,私,,나,,,,,,,,,,
14,いい,,좋다,,,,,,,,,,
15,これ,,이것,,,,,,,,,,
16,見る,,보다,,,,,,,,,,
17,だけ,,뿐,,,,,,,,,,
18,くる,,오다,,,,,,,,,,
19,くれる,,주다,,,,,,,,,,
20,さん,,さん은 일본어에서 사람의 이름 뒤에 붙이는 존칭입니다.,,,,,,,,,,
21,やる,,하다,,,,,,,,,,
22,まで,,까지,,,,,,,,,,
23,もの,,것,,,,,,,,,,
24,行く,,가다,,,,,,,,,,
25,という,,라는,,,,,,,,,,
26,もう,,이미,,,,,,,,,,
27,だから,,그래서,,,,,,,,,,
28,そんな,,그런,,,,,,,,,,
29,あの,,저기,,,,,,,,,,
30,しまう,,끝내다,,,,,,,,,,
31,来る,,오다,,,,,,,,,,
32,人,,사람,,,,,,,,,,
33,ここ,,여기,,,,,,,,,,
34,お,,お: 존경 또는 공손함을 나타내는 접두사,,,,,,,,,,
35,とする,,하려고 하다,,,,,,,,,,
36,自分,,자신,,,,,,,,,,
37,じゃない,,아니야,,,,,,,,,,
38,知る,,알다,,,,,,,,,,
39,なら,,만약에,,,,,,,,,,
40,今,,지금,,,,,,,,,,
41,聞く,,듣다.,,,,,,,,,,
42,ような,,같은,,,,,,,,,,
43,何,,무엇,,,,,,,,,,
44,前,,앞,,,,,,,,,,
45,出る,,나오다,,,,,,,,,,
46,中,,중,,,,,,,,,,
47,ように,,위하여,,,,,,,,,,
48,顔,,얼굴,,,,,,,,,,
49,また,,다시,,,,,,,,,,
50,考える,,생각하다.,,,,,,,,,,
51,どう,,,,,,,,,,,,
52,そして,,,,,,,,,,,,
53,ため,,,,,,,,,,,,
54,まだ,,,,,,,,,,,,
55,いや,,,,,,,,,,,,
56,ちょっと,,,,,,,,,,,,
57,できる,,,,,,,,,,,,
58,話,,,,,,,,,,,,
59,そこ,,,,,,,,,,,,
60,なの,,,,,,,,,,,,
61,ではない,,,,,,,,,,,,
62,待つ,,,,,,,,,,,,
63,ところ,,,,,,,,,,,,
64,こんな,,,,,,,,,,,,
65,たち,,,,,,,,,,,,
66,持つ,,,,,,,,,,,,
67,声,,,,,,,,,,,,
68,もらう,,,,,,,,,,,,
69,入る,,,,,,,,,,,,
70,何,,,,,,,,,,,,
71,手,,,,,,,,,,,,
72,見える,,,,,,,,,,,,
73,方,,,,,,,,,,,,
74,目,,,,,,,,,,,,
75,男,,,,,,,,,,,,
76,本当,,,,,,,,,,,,
77,あなた,,,,,,,,,,,,
78,今日,,,,,,,,,,,,
79,ほど,,,,,,,,,,,,
80,言葉,,,,,,,,,,,,
81,らしい,,,,,,,,,,,,
82,として,,,,,,,,,,,,
83,など,,,,,,,,,,,,
84,ただ,,,,,,,,,,,,
85,しかし,,,,,,,,,,,,
86,違う,,,,,,,,,,,,
87,使う,,,,,,,,,,,,
88,少し,,,,,,,,,,,,
89,時,,,,,,,,,,,,
90,家,,,,,,,,,,,,
91,あれ,,,,,,,,,,,,
92,彼,,,,,,,,,,,,
93,よい,,,,,,,,,,,,
94,人間,,,,,,,,,,,,
95,同じ,,,,,,,,,,,,
96,上,,,,,,,,,,,,
97,よく,,,,,,,,,,,,
98,よう,,,,,,,,,,,,
99,出す,,,,,,,,,,,,
100,どこ,,,,,,,,,,,,
101,悪い,,,,,,,,,,,,
102,時間,,,,,,,,,,,,
103,部屋,,,,,,,,,,,,
104,わけ,,,,,,,,,,,,
105,おく,,,,,,,,,,,,
106,かもしれない,,,,,,,,,,,,
107,作る,,,,,,,,,,,,
108,まま,,,,,,,,,,,,
109,早い,,,,,,,,,,,,
110,感じる,,,,,,,,,,,,
111,呼ぶ,,,,,,,,,,,,
112,話す,,,,,,,,,,,,
113,何か,,,,,,,,,,,,
114,のように,,,,,,,,,,,,
115,死ぬ,,,,,,,,,,,,
116,姿,,,,,,,,,,,,
117,頭,,,,,,,,,,,,
118,強い,,,,,,,,,,,,
119,こう,,,,,,,,,,,,
120,いつも,,,,,,,,,,,,
121,会う,,,,,,,,,,,,
122,一緒に,,,,,,,,,,,,
123,好き,,,,,,,,,,,,
124,相手,,,,,,,,,,,,
125,帰る,,,,,,,,,,,,
126,みんな,,,,,,,,,,,,
127,音,,,,,,,,,,,,
128,うち,,,,,,,,,,,,
129,ずっと,,,,,,,,,,,,
130,でした,,,,,,,,,,,,
131,食べる,,,,,,,,,,,,
132,場所,,,,,,,,,,,,
133,あと,,,,,,,,,,,,
134,どうして,,,,,,,,,,,,
135,もっと,,,,,,,,,,,,
136,くらい,,,,,,,,,,,,
137,世界,,,,,,,,,,,,
138,あげる,,,,,,,,,,,,
139,戻る,,,,,,,,,,,,
140,力,,,,,,,,,,,,
141,仕事,,,,,,,,,,,,
142,必要,,,,,,,,,,,,
143,続ける,,,,,,,,,,,,
144,つもり,,,,,,,,,,,,
