Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
11,ない,,"1. 없다. 2. (인간이나 물건이) 존재하지 않다. 3. (사항이) 일어나지 않다, 행하지 않는다.",,,,,,,,,,
14,いい,,"1. 구어 좋다. (=よい) 2. (반어적으로) ‘나쁘다·꼴사납다’의 뜻을 나타냄. 3. 이이, 기뻐서 즐거워하는 모양.",,,,,,,,,,
28,そんな,,"1. 구어 그러한, 그런, 그와 같은. (=そのような) 2. ‘そんなことは有りません(=그런 일은 없습니다)’의 압축된 말씨(상대방 말에 대한 강한 부정(否定)을 나타냄). 3. その様な。",,,,,,,,,,
42,ような,,"1. 예시를 들어 말할 때 씀: …(와) 같은. 2. 용도, 소용. 3. 용무, 용건, 볼일, 일.",,,,,,,,,,
47,ように,,"1. ‘様だ'의 연용형. 2. …ㄹ 수 있게, …도록(어떤 동작이나 작용의 목적∙목표를 나타냄). 3. …하도록(소원·완곡한 명령을 나타냄).",,,,,,,,,,
64,こんな,,"1. 구어 이러한, 이와 같은. (=このような) 2. この様な。 3. 이토록, 이렇게.",,,,,,,,,,
93,よい,,"1. 좋다. (↔悪い) 2. 만족할 만하다. 3. (佳い) 뛰어나다, 훌륭하다.",,,,,,,,,,
95,同じ,,"1. ‘같음·동일’의 뜻. 2. (‘なら’와 호응하여) 어차피, 이왕에. (=どうせ) 3. 구어 (→おなじ)",,,,,,,,,,
101,悪い,,1. 나쁘다. 2. 좋지 않다. 3. (머리 따위가) 둔하다.,,,,,,,,,,
109,早い,,"1. (시간적으로) 이르다. (↔遅い) 2. 아직 그 시각·시기가 아니다. (↔遅い) 3. 시간이 짧다[빠르다], 손쉽다. (↔遅い)",,,,,,,,,,
118,強い,,"1. 강하다, 세다. 2. (체력·완력적으로) 힘이 세다. 3. 능력·실력이 좋다, 잘하다.",,,,,,,,,,
123,好き,,1. 좋아함. (↔きらい) 2. 호색(好色). 3. 호기심.,,,,,,,,,,
145,どんな,,"1. 어떠한, 어떤. 2. 분명하지 않은 상태∙성질·정도 등을 상상하려는 모양. 3. (‘でも·ても·も' 등과 함께) 사물의 상태·성질·정도 등에 좌우되지 않는 모양.",,,,,,,,,,
164,大きい,,1. 크다. (↔小さい) 2. (형상이) 보통 정도를 넘다. 3. (수·양이) 많다.,,,,,,,,,,
198,多い,,"1. 많다. 2. (사람 또는 물건의 수효나 양이) 많이 있다, 잦다. 3. (정도나 횟수 등이) 보통을 넘거나 상당한 상태에 있다.",,,,,,,,,,
210,高い,,"1. 높다. 2. 위쪽에 있다, 위로 솟다. 3. (키가) 크다.",,,,,,,,,,
225,長い,,1. 길다. 2. (공간적으로) 길다. 3. (세월·시간이) 오래다.,,,,,,,,,,
230,楽しい,,"1. 즐겁다, 유쾌하다. 2. 즐거운 가정. 3. 즐거운 대화, 환담.",,,,,,,,,,
271,ようになる,,"1. 체포되다. 2. 용도, 소용. 3. 용무, 용건, 볼일, 일.",,,,,,,,,,
275,小さい,,1. 작다. 2. 크지 않다. 3. 규모가 작다.,,,,,,,,,,
282,深い,,1. 깊다. 2. 겉에서 속까지의 길이가 길다. 3. (생각이) 듬쑥하다.,,,,,,,,,,
286,ほしい,,"1. …하고 싶다, 갖고 싶다, 탐나다. 2. (‘…て[で]欲しい'의 꼴로) (…하기) 바라다, (…해 주면) 좋겠다, 요망하다. 3. (→ほしいい)",,,,,,,,,,
293,大変,,"1. 대사건, 중대사. 2. 대단함, 엄청남, 중대함, 굉장함. 3. 힘듦, 고생스러움.",,,,,,,,,,
296,簡単,,"1. 간단. 2. 사물이 단순하여 이해나 취급이 쉬운 것; 또, 그런 모양. 3. 시간이나 수고가 들지 않는 것; 또, 그런 모양.",,,,,,,,,,
301,完全,,"1. 완전. (↔不完全, 不全) 2. 完全 かんぜん . 3. 식물 완전화, 갖춘꽃. (↔不完全花)",,,,,,,,,,
316,新しい,,"1. 새롭다. 2. 오래지 않다, 갓[새로] …하다, 처음이다. 3. 싱싱하다, 신선하다, 생생하다.",,,,,,,,,,
318,ようにする,,"1. …하도록 하다. 2. ~하도록 하다 3. (놀라거나 무언가를 찾기 위해) 눈을 크게 뜨고[주의 깊게] 보다, 눈이 등잔만 해지다. (=目を皿にする)",,,,,,,,,,
325,近い,,1. 가깝다. 2. 공간적으로 멀지 않다. 3. 시간적으로 멀지 않다.,,,,,,,,,,
330,大事,,1. 큰일. (↔小事) 2. 대사. 3. 소중함. (=大切),,,,,,,,,,
336,少ない,,"1. (양이나 수효 등이) 적다. (↔多い) 2. 방언 (→すくない) 3. 몇 안 되다, 드물다, 흔하지 않다.",,,,,,,,,,
348,たくさん,,"1. (수나 분량이) 많음. 2. 충분함, 더 필요 없음, 질색임. 3. (명사 뒤에 붙어 ‘だくさん'의 꼴로) 충분하리만큼 많은 모양을 나타냄.",,,,,,,,,,
361,若い,,1. 젊다. 2. 어리다. 3. 생긴 지 얼마 안 되다.,,,,,,,,,,
370,重い,,1. 무겁다. 2. 무게가 나가다. 3. 언동이 가볍지 않다.,,,,,,,,,,
374,ないと,,1. 나이트. 2. (중세기의) 기사(騎士). 3. 속어 여자의 보호역을 하는 사람.,,,,,,,,,,
377,大切,,"1. 중요함, 귀중함, 소중함. 2. 소중히 여겨 조심히 다루는 모양. 3. 조심해서 다루다.",,,,,,,,,,
379,広い,,"1. 넓다. 2. (면적·폭이) 넓다, 너르다. 3. (본디 博い로도) (범위가) 넓다, 크다, 많다.",,,,,,,,,,
383,ないか,,"1. 내과. (↔外科) 2. 식물 내과피. 3. 구강내과, 구강 내부에 발생하는 여러 질환을 물리 요법이나 약물 따위로 치료하는 진료 과목. (→口腔外科)",,,,,,,,,,
392,みたい,,"1. 속어 (체언(体言) 또는 활용어의 종지형에 붙어서) (마치) …같다, …비슷하다, …싶다. 2. 다른 것과 닮은 것을 나타냄. 3. 예를 나타냄.",,,,,,,,,,
393,大丈夫,,"1. 괜찮음; 걱정 없음; 끄떡없음, 문제없음; 틀림없음. 2. (부사적으로) 틀림없이, 확실히, 꼭. 3. 대장부. (=ますらお, 偉丈夫)",,,,,,,,,,
403,様,,"1. 모양, 상태, 모습. 2. 방법, 수단. 3. 여성어 (화류계에서) 여자가 남자를 가리키는 말: 임, 그이.",,,,,,,,,,
413,すごい,,"1. 무섭다, 무시무시하다. 2. 굉장하다, 지독하다, 대단하다. 3. 오싹하리만큼 황량하다, 몹시 쓸쓸하다.",,,,,,,,,,
414,確かに,,"1. 확실함, 틀림없음, 믿을 수 있음. 2. 든든함, 탄탄함. 3. 확실히, 분명히, 틀림없이, 필시, 아마. (=多分)",,,,,,,,,,
420,ようだ,,"1. 불확실한 또는 완곡한 단정을 나타냄: …(인) 것 같다, …(한) 듯하다. 2. 내용의 지시, 또는 (일례로서) 예시하여 말함: …와 같다. 3. 서로 비슷한 것을 들어 그 성질·상태 등에 대해 서술함.",,,,,,,,,,
442,怖い,,"1. 무섭다, 두렵다. 2. 겁나다. (=恐ろしい) 3. 걱정스럽다, 염려스럽다.",,,,,,,,,,
443,良い,,"1. 좋다. (↔悪い) 2. 만족할 만하다. 3. (佳い) 뛰어나다, 훌륭하다.",,,,,,,,,,
451,欲しい,,"1. …하고 싶다, 갖고 싶다, 탐나다. 2. (‘…て[で]欲しい'의 꼴로) (…하기) 바라다, (…해 주면) 좋겠다, 요망하다. 3. 「ほしい」を参照。",,,,,,,,,,
457,そんなに,,"1. 그렇게(까지), 그 정도로. 2. 구어 그러한, 그런, 그와 같은. (=そのような) 3. ‘そんなことは有りません(=그런 일은 없습니다)’의 압축된 말씨(상대방 말에 대한 강한 부정(否定)을 나타냄).",,,,,,,,,,
461,おかしい,,"1. 우습다, 우스꽝스럽다. 2. 이상하다. 3. 비정상적이다.",,,,,,,,,,
470,優しい,,"1. 온순하다, (마음씨가) 곱다, 상냥하다, 부드럽다, 다정하다. 2. 친환경적이다, 나쁜 영향을 주지 않다, 자극이 적다. 3. 우아하고 아름답다, 고상하다.",,,,,,,,,,
471,嫌,,"1. 싫음, 하고 싶지 않음. (=嫌い), (↔好き) 2. 불쾌한 모양. 3. (‘嫌に’의 꼴로) 대단히, 몹시, 되게, 묘하게, 이상하게.",,,,,,,,,,
479,あんな,,"1. 구어 저런, 그런. (=あのような) (→こんな, そんな, どんな) 2. あの様な。 3. 話し手や聞き手が知っているものがあのようである。",,,,,,,,,,
490,当然,,"1. 당연(함). 2. 당연히, 응당. 3. 당연",,,,,,,,,,
504,軽い,,"1. 가볍다. 2. 무게가 적다. (↔重い) 3. 정도가 심하지 않다, 중요하지 않다. (↔重い)",,,,,,,,,,
511,こんなに,,"1. 이토록, 이렇게. 2. 이토록, 이렇게 3. 구어 이러한, 이와 같은. (=このような)",,,,,,,,,,
516,痛い,,"1. 아프다. 2. 육체적 고통을 느끼다. 3. 정신적 고통을 느끼다, 쓰리다, 뼈아프다.",,,,,,,,,,
554,白い,,"1. 희다, 하얗다. 2. 결백하다. 3. (종이·천 등이) 염색되거나 문자·그림으로 채워져 있지 않다.",,,,,,,,,,
557,赤い,,"1. 붉다, 빨갛다. 2. (빛깔이 붉고) 아름답다. 3. (사상이) 붉다, 공산주의적이다.",,,,,,,,,,
570,恥ずかしい,,"1. 부끄럽다. 2. 면목 없다, 창피하다. 3. 수줍다, 쑥스럽다.",,,,,,,,,,
573,静か,,1. 조용[고요]한 모양·상태. 2. 아무런 소리도 들리지 않음. 3. 움직임이 두드러지지 않음.,,,,,,,,,,
583,面白い,,"1. 재미있다, 즐겁다, 유쾌하다. 2. 우습다, 이상하다. (=おかしい) 3. 흥미 있다, 마음이 끌리다, (어딘지) 색다른 데가 있다.",,,,,,,,,,
597,美しい,,"1. 아름답다. 2. 곱다, 예쁘다. (↔醜い) 3. (칭찬할 만큼) 훌륭하다.",,,,,,,,,,
603,難しい,,"1. 어렵다. 2. (이해∙습득이) 힘들다, 난해하다. (↔やさしい) 3. 해결이 곤란하다, 실현이 거의 불가능하다. (↔やさしい)",,,,,,,,,,
610,ひどい,,"1. (정도가) 심하다. 2. 가혹하다, 참혹하다, 잔인하다. (=むごい) 3. 지독하다, 엄청나다, 호되다. (=激しい, はなはだしい)",,,,,,,,,,
629,遅い,,"1. 늦다. 2. 느리다, 더디다. (=のろい), (↔速い) 3. (晩い) (시간이) 늦다. (↔早い)",,,,,,,,,,
648,甘い,,1. (맛이) 달다. (↔からい) 2. (맛·간이) 싱겁다. (↔からい) 3. 달콤하다.,,,,,,,,,,
659,うまい,,"1. ((美味い)) (음식물 등이) 맛있다. (=おいしい), (↔まずい) 2. 일이 자신의 뜻대로 되다, 형편이 좋다. (↔まずい) 3. ((上手い∙巧い)) 능란[능숙]하다, 솜씨가 좋다. (↔まずい)",,,,,,,,,,
661,確か,,"1. 확실함, 틀림없음, 믿을 수 있음. 2. 든든함, 탄탄함. 3. 확실히, 분명히, 틀림없이, 필시, 아마. (=多分)",,,,,,,,,,
664,無事,,"1. 무사. 2. 평온함. (↔有時) 3. 별다른 과실이 없음, 무고함.",,,,,,,,,,
669,熱い,,"1. 뜨겁다. 2. 열도가 높다. (↔冷たい) 3. 열렬하다, 열중하다, 열심이다.",,,,,,,,,,
670,意外,,"1. 의외, 뜻밖, 예상외. 2. 意外 いがい , 勿怪 もっけ , 予想外 よそうがい , 案外 あんがい , 思 おも いの 外 ほか . (=뜻밖) 3. 의외로, 예상외로.",,,,,,,,,,
686,黒い,,"1. 검다. 2. 까맣다. 3. 거무스름하다, (피부가) 볕에 타 있다.",,,,,,,,,,
687,冷たい,,"1. 차갑다, 차다. (↔熱い) 2. 냉정하다, 냉담하다, 쌀쌀하다, 매몰하다. (↔暖かい) 3. 속어 차갑다. (=つめたい)",,,,,,,,,,
693,珍しい,,"1. 드물다. 2. 희귀하다, 희한하다, (진)귀하다. 3. 이상하다, 여느 때와 다르다.",,,,,,,,,,
695,いいから,,"1. 구어 좋다. (=よい) 2. (반어적으로) ‘나쁘다·꼴사납다’의 뜻을 나타냄. 3. 근사하다, 멋있다. (=かっこうがいい, かっこい)",,,,,,,,,,
698,必死,,"1. 필사. 2. 반드시 죽음. 3. 죽기를 각오함, 전력을 다함. (=命がけ)",,,,,,,,,,
702,激しい,,1. 기세가 강하다. 2. 정도가 심하다. (=ひどい) 3. 빈번하게 일어나다.,,,,,,,,,,
737,特別,,"1. 특별(히). (=格別, とりわけ) 2. (뒤에 부정(否定)어가 와서) 별로, 그다지. (=大して) 3. 特別 とくべつ , 別格 べっかく .",,,,,,,,,,
749,素直,,"1. (비뚤어지지 않고) 고분고분함, 순진함, 솔직함, 순수함. 2. 굽거나 일그러지지 않은 모양, (특별한) 버릇이 없는 모양. 3. すなお 参照",,,,,,,,,,
763,低い,,1. 낮다. (↔高い) 2. 작다. 3. (높이·길이가) 짧다.,,,,,,,,,,
784,正しい,,"1. 바르다. 2. (모양∙방향이) 곧다. 3. 사리에 맞다, 옳다, 정확하다.",,,,,,,,,,
787,遠い,,1. 멀다. 2. (거리가) 많이 떨어지다. 3. (시간의 간격이) 길거나 오래다.,,,,,,,,,,
795,暗い,,"1. 어둡다. 2. 밝지 않다, 캄캄하다. 3. 희망이 없다.",,,,,,,,,,
808,多く,,"1. 많음, 많은 것. 2. 대부분. 3. 대부분, 대개, 대체로, 보통은, 흔히.",,,,,,,,,,
809,残念,,"1. 분함, 억울함. 2. 유감스러움, 아쉬움. 3. 목적을 달성하지 못한 사람을 위로하는, 또는 그들끼리 하는 위로의 모임.",,,,,,,,,,
826,弱い,,"1. 약하다. 2. (힘이나 세력이) 작다. 3. 튼튼하지 못하다, 병약하다, 여리다.",,,,,,,,,,
843,明るい,,"1. 밝다. 2. (빛·색이) 환하다. 3. (성격·표정·분위기 등이) 밝다, 명랑하다.",,,,,,,,,,
846,当たり前,,"1. 당연함, 마땅함. 2. 보통, 예사, 여느. 3. ‘当たり前’의 변화된 발음.",,,,,,,,,,
852,忙しい,,"1. 바쁘다, 겨를이 없다. 2. 닥치어 들뜨다, 어수선하다, 부산하다. 3. 바쁘다, 틈[겨를]이 없다. (=いそがしい)",,,,,,,,,,
853,寂しい,,"1. 허전하다. 2. 쓸쓸하다, 적적하다, (슬프고) 외롭다. 3. 섭섭하다.",,,,,,,,,,
862,大好き,,1. 매우 좋아하는 모양. 2. 좋아하는 가수,,,,,,,,,,
867,詳しい,,"1. 상세하다, 소상하다, 자세하다. 2. 정통하다, 환하다. (↔疎い) 3. 자세한 지도.",,,,,,,,,,
872,ような気がする,,"1. 용도, 소용. 2. 용무, 용건, 볼일, 일. 3. …용, …에 쓰이는, …이 쓰는.",,,,,,,,,,
879,苦しい,,"1. 괴롭다. 2. 고통스럽다, 난처하다. (=つらい) 3. 고되다, 힘겹다.",,,,,,,,,,
883,余計,,"1. 물건이 남아돌아감, 여분(餘分). 2. (정도가 지나쳐) 쓸데없음, 불필요함, 지나침, 무익함. 3. 더욱, 한층 더.",,,,,,,,,,
903,厳しい,,"1. 엄하다, (혹)심하다, 지독[혹독]하다. 2. 냉엄하다, 긴박하다. 3. 위엄이 있다, 위압감을 주다, 엄숙하다.",,,,,,,,,,
904,危ない,,"1. 위험하다, 위태롭다 2. 불안하다, 미덥지 않다. 3. (연용형으로) 하마터면, 아슬아슬하게, 간신히.",,,,,,,,,,
912,短い,,1. 짧다. (↔長い) 2. (한끝에서 한끝까지의) 길이가 길지 않다. 3. (시간적으로) 길지 않다.,,,,,,,,,,
916,恐ろしい,,"1. 두렵다, 무섭다. 2. 겁나다. (=こわい) 3. 걱정스럽다, 염려스럽다.",,,,,,,,,,
921,悲しい,,"1. 슬프다. (↔嬉しい) 2. 애처롭다, 구슬프다. 3. 애처로운 노래.",,,,,,,,,,
939,明らか,,"1. 밝음, 환함. 2. 분명함, 뚜렷함, 명백함. 3. 분명히 하다, 밝히다.",,,,,,,,,,
948,薄い,,"1. 얇다. (↔厚い) 2. 정도·밀도가 적다. 3. (색·맛이) 산뜻하다, 담박하다, 연하다, 싱겁다. (↔濃い)",,,,,,,,,,
949,よろしい,,"1. ‘よい’의 격식 차린 말씨: 좋다, 나쁘지 않다, 괜찮다. 2. ‘よい(=좋다)’의 공손한 말씨. 3. 허가할 수 있다, 해도 되다.",,,,,,,,,,
953,新た,,1. 새로움. 2. 생생함. 3. (‘新たに'의 꼴로) 새롭게[새로이] 다시 하는 모양.,,,,,,,,,,
961,うるさい,,"1. (소리 등이) 시끄럽다. 2. 귀찮다, 번거롭다, 성가시다. 3. 까다롭다; 또, 잔소리가 많다.",,,,,,,,,,
987,遠く,,"1. 먼 곳. 2. (시간·공간적으로) 차이가 큰 모양: 멀리, 훨씬, 매우. 3. 멀다.",,,,,,,,,,
1016,重要,,"1. 중요; 사물의 근본에 관계되는 일; 매우 소중한 일; 또, 그런 모양. 2. 重要 じゅうよう , 大切 たいせつ . 3. 중요시. (↔軽視)",,,,,,,,,,
1024,速い,,"1. (동작·속도가) 빠르다. (↔おそい, のろい) 2. ((駛い)) 세차다, 거칠다. 3. 발(걸음)이 빠르다.",,,,,,,,,,
1032,立派,,"1. 훌륭함, 아주 뛰어남. 2. 당당함, 정당함, 어엿함. 3. 더할 나위 없음, 충분함, 완전함.",,,,,,,,,,
1034,確実,,1. 확실(함). 2. 확실한[믿을 만한] 물건. 3. 당선 확실. (=当確),,,,,,,,,,
1047,可能,,1. 가능. (↔不可能) 2. 可能 かのう . 3. 가능성.,,,,,,,,,,
1049,非常,,"1. 비상, 평소 때와 다름, 심상치 않음. 2. 비상, 보통이 아님, 대단함. 3. 非常 ひじょう .",,,,,,,,,,
1061,あんなに,,"1. 그렇게, 그토록, 저렇게, 저토록. 2. 그렇게 3. 구어 저런, 그런. (=あのような) (→こんな, そんな, どんな)",,,,,,,,,,
1081,寒い,,"1. 춥다, 차다. (↔暑い) 2. 오싹하다. 3. 가난하다, 빈약하다.",,,,,,,,,,
1099,古い,,"1. 오래되다, 오래다. 2. 헐다, 오래 사용하여 낡다. 3. 옛일이다.",,,,,,,,,,
1131,有名,,1. 유명. 2. 세상에 이름이 널리 알려져 있는 것. 3. 이름을 가지는 것.,,,,,,,,,,
1145,大きくなる,,1. 크다. (↔小さい) 2. (형상이) 보통 정도를 넘다. 3. (수·양이) 많다.,,,,,,,,,,
1153,狭い,,1. 좁다. (↔広い) 2. 면적이 작다. 3. 너비가 작다.,,,,,,,,,,
1204,嬉しい,,"1. 기쁘다, 반갑다. (↔悲しい) 2. 고맙다, 감사하다, 황송하다. 3. 즐거운 비명을 올리다.",,,,,,,,,,
1231,可愛い,,"1. 귀엽다, 예쁘다. 2. 작다, 조그맣다. 3. 사랑스럽다, 깊은 애정을 느끼다.",,,,,,,,,,
1253,仕方ない,,"1. 할 수 없다, 하는 수 없다. 2. 어쩔 수 없다, 가망이 없다. 3. 견딜 수 없다.",,,,,,,,,,
1295,綺麗,,"1. 고움, 예쁨, 아름다움. 2. 깨끗함. (↔汚い) 3. 정결함, 말끔함, 맑음.",,,,,,,,,,
1311,巨大,,1. 거대. (↔微小) 2. 巨大 きょだい . 3. 거대 도시.,,,,,,,,,,
1326,無い,,"1. 없다. 2. (인간이나 물건이) 존재하지 않다. 3. (사항이) 일어나지 않다, 행하지 않는다.",,,,,,,,,,
1328,おいしい,,"1. 맛있다, 맛 좋다. (=うまい), (↔まずい) 2. 속어 형편이 좋다, 이익이 되다, 바람직하다. 3. 제법 맛있다.",,,,,,,,,,
1332,マジ,,"1. 속어 ‘真面目’의 준말, 진지함, 진심임, 농담이 아님. 2. 머지 3. 데이터를 합병해서 보다 큰 파일을 작성하는 일.",,,,,,,,,,
1356,まずい,,"1. 맛이 없다. (↔うまい, おいしい) 2. ((拙い)) 서투르다, 졸렬하다. (=つたない), (↔うまい) 3. 못생기다, 아름답지 않다.",,,,,,,,,,
1358,鋭い,,"1. 날카롭다, 예리하다. (↔鈍い) 2. 끝이 뾰족하다. 3. (소리·냄새 등이) 거슬릴 만큼 강하다.",,,,,,,,,,
1391,いいか,,"1. 구어 좋다. (=よい) 2. (반어적으로) ‘나쁘다·꼴사납다’의 뜻을 나타냄. 3. 근사하다, 멋있다. (=かっこうがいい, かっこい)",,,,,,,,,,
1395,真面目,,"1. 진심, 진정, 거짓이나 장난이 아님, 진지함. 2. 착실함, 성실함. (↔不真面目) 3. 진면목, 본래의 상태나 모양, 진가. (=真価, 真骨頂)",,,,,,,,,,
1403,様に,,"1. ‘様だ'의 연용형. 2. …ㄹ 수 있게, …도록(어떤 동작이나 작용의 목적∙목표를 나타냄). 3. …하도록(소원·완곡한 명령을 나타냄).",,,,,,,,,,
1406,細い,,1. 가늘다. (↔太い) 2. (폭이) 좁다. 3. (양 따위가) 적다.,,,,,,,,,,
1419,わずか,,"1. 얼마 안 되는 모양. 2. 조금, 약간, 근소함. 3. 불과.",,,,,,,,,,
1439,怪しい,,"1. 수상하다. 2. 괴이하다, 괴상하다. 3. 의심스럽다, 믿을 수 없다, 위태롭다.",,,,,,,,,,
1458,まとも,,"1. 정면. (=真正面) 2. 착실함, 성실함, 건실함, 정상임. 3. 착실[성실]하게 살다.",,,,,,,,,,
1460,青い,,"1. 파랗다. 2. (빛이) 푸르다. 3. (얼굴빛이) 창백하다, 핼쑥하다, 파리하다.",,,,,,,,,,
1463,悔しい,,"1. 분하다, 억울하다. 2. [구두어] 아이고, 억울해라.",,,,,,,,,,
1492,真っ赤,,"1. 새빨감. 2. 진한 빨강. 3. 완전함, 전연.",,,,,,,,,,
1493,見事,,"1. 멋짐, 볼 만함, 훌륭함, 뛰어남. 2. (반어적으로) 완전함. 3. 훌륭한 글씨.",,,,,,,,,,
1504,単純,,1. 단순(함). 2. 다른 것이 섞여 있지 않음. 3. (구조·기능·생각 등이) 복잡하지 않고 간단한 것.,,,,,,,,,,
1546,長,,"1. 장. 2. 우두머리. (=かしら) 3. 긴, 기다란. (↔短)",,,,,,,,,,
1547,穏やか,,"1. 온화함. 2. 평온함, 안온함, (날씨가) 화창함. 3. 침착하고 조용함, 차분함.",,,,,,,,,,
1551,柔らかい,,"1. 몰랑하다, 부드럽다, 포근하다, 푹신하다, 유연하다. (↔かたい) 2. 따지지 않다, 순순하다. 3. 말랑하다, 부드럽다, 포근하다, 푹신하다, 유연하다. (↔かたい)",,,,,,,,,,
1576,辛い,,"1. 맵다, 얼얼하다. 2. ((鹹い)) (맛이) 짜다. (=しおからい) 3. (술이) 독하다.",,,,,,,,,,
1582,あまりにも,,"1. 너무나도. 2. 너무나도 3. 남은 것, 나머지, 여분, 우수리.",,,,,,,,,,
1611,ありがたい,,"1. 감사하다, 고맙다. (=かたじけない) 2. 다행스럽다. 3. 황송하다, 과분하다, 더할 나위 없이 소중하다.",,,,,,,,,,
1623,素晴らしい,,"1. 훌륭하다, 근사하다, 굉장하다, 멋지다, 기막히다. 2. (놀랄 정도로) 정도가 심하다, 대단하다, 엄청나다. 3. 멋진 옷.",,,,,,,,,,
1626,同様,,"1. 같음, 같은 모양, 마찬가지임. 2. 천문 닮음의 위치(~的位置) 3. 농생물학 유사 협력 작용",,,,,,,,,,
1686,あまりに,,"1. 너무나, 지나치게, 몹시. 2. 남은 것, 나머지, 여분, 우수리. 3. (접미어적으로) (어떤 한도에서) 좀 더 됨, 남짓.",,,,,,,,,,
1690,素敵,,"1. 썩 뛰어남, 매우 근사함, 아주 멋짐. 2. [구두어] 아주 멋쟁인데, 아주 멋있는 사람이지. 3. ‘すてき’의 힘줌말.",,,,,,,,,,
1692,微妙,,1. 미묘함. (=デリケート) 2. 형용할 수 없이 훌륭한 모양. 3. 단정할 수 없는 모양.,,,,,,,,,,
1721,いいや,,"1. 아니((‘いや’를 길게 늘인 꼴, ‘いいえ’보다 스스럼없는 말씨)). 2. 구어 좋다. (=よい) 3. (반어적으로) ‘나쁘다·꼴사납다’의 뜻을 나타냄.",,,,,,,,,,
1722,硬い,,"1. 단단하다, 딱딱하다, 굳다. (↔もろい, やわらかい) 2. (물체 등이) 단단하다. 3. (의지·의리·행실 등이) 굳다.",,,,,,,,,,
1758,懐かしい,,1. 그립다. 2. [고어] 3. 반갑다.,,,,,,,,,,
1764,幼い,,"1. 어리다. 2. 미숙하다, 유치하다. 3. 아어(雅語) 어리다, 순진하다. (=幼(おさな)い, がんぜない)",,,,,,,,,,
1770,偉い,,"1. 훌륭하다, 비범하다, (잘)나다, 위대하다. 2. 지위·신분이 높다. 3. 대단하다, 심하다, 지독하다, 굉장하다.",,,,,,,,,,
1777,優秀,,1. 우수. (↔劣悪) 2. 優秀 ゆうしゅう . 3. 우수성.,,,,,,,,,,
1787,いいこと,,"1. 좋은 일, 재미나는 일, 정사(情事). 2. (편리한) 핑계[구실], 기화(奇貨). 3. 여성어 주로, 손아랫사람에게 다짐하거나 대답을 촉구하는 말： (잘) 알겠지; 알았니.",,,,,,,,,,
1791,様々,,1. 軍事 variation of style 2. 다양한 3. 여러모로. 다양하게,,,,,,,,,,
1818,固い,,"1. 단단하다, 딱딱하다, 굳다. (↔もろい, やわらかい) 2. (물체 등이) 단단하다. 3. (의지·의리·행실 등이) 굳다.",,,,,,,,,,
1820,すっごい,,,,,,,,,,,,
1825,温かい,,"1. 따뜻하다. 2. 온도가 차지 않다. 3. (분위기·마음씨가) 포근하다, 훈훈하다, 다정하다.",,,,,,,,,,
1834,ように言う,,"1. [구두어] 잘도 말하는군. 2. 용도, 소용. 3. 용무, 용건, 볼일, 일.",,,,,,,,,,
1845,好きになる,,1. 좋아함. (↔きらい) 2. 호색(好色). 3. 호기심.,,,,,,,,,,
1857,強引,,"1. 강인, (반대나 장애를 물리치고) 무리하게 함, 억지로 함. 2. 강제적인 방법. 3. 강행",,,,,,,,,,
1865,情けない,,"1. 인정을 모르다, 무정하다, 박정하다. (=つれない) 2. (기대나 예산에 반하여) 한심하다. 3. 비참하다, 정떨어지다.",,,,,,,,,,
1871,きつい,,"1. (정도가) 심하다, 되다, 과격하다, 대단하다. 2. 굳건하다, 강하다. (↔甘い) 3. 헐렁하지 않다, 빡빡하다, 꼭 끼다. (↔ゆるい)",,,,,,,,,,
1885,丁寧,,"1. 주의 깊고 신중함. 2. 친절함, 정중함, 공손함. 3. 細かなところまで気を配り、入念にすること、さま。",,,,,,,,,,
1907,いかが,,1. 상대의 기분이나 의향을 묻는 말: 어떻게. 2. 상대에게 무엇을 권하는 뜻을 나타내는 말: 어떻습니까. 3. 고어 (반어(反語)를 써서) 어째서 …일까.,,,,,,,,,,
