Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
12,そう,,그렇다.,,,,,,,,,,
26,もう,,이미,,,,,,,,,,
51,どう,,,,,,,,,,,,
54,まだ,,,,,,,,,,,,
56,ちょっと,,,,,,,,,,,,
88,少し,,,,,,,,,,,,
97,よく,,,,,,,,,,,,
98,よう,,,,,,,,,,,,
119,こう,,,,,,,,,,,,
129,ずっと,,,,,,,,,,,,
134,どうして,,,,,,,,,,,,
135,もっと,,,,,,,,,,,,
157,きっと,,,,,,,,,,,,
161,すぐに,,,,,,,,,,,,
199,そういう,,,,,,,,,,,,
207,初めて,,,,,,,,,,,,
211,もちろん,,,,,,,,,,,,
229,とても,,,,,,,,,,,,
236,もし,,,,,,,,,,,,
259,あまり,,,,,,,,,,,,
262,すぐ,,,,,,,,,,,,
277,こういう,,,,,,,,,,,,
287,なぜ,,,,,,,,,,,,
303,しっかり,,,,,,,,,,,,
333,特に,,,,,,,,,,,,
337,まず,,,,,,,,,,,,
347,なかなか,,,,,,,,,,,,
365,必ず,,,,,,,,,,,,
404,まあ,,,,,,,,,,,,
410,やっぱり,,,,,,,,,,,,
411,ちゃんと,,,,,,,,,,,,
419,まさか,,,,,,,,,,,,
421,そうだ,,,,,,,,,,,,
424,まるで,,,,,,,,,,,,
434,一番,,,,,,,,,,,,
437,そうか,,,,,,,,,,,,
444,ゆっくり,,,,,,,,,,,,
445,つまり,,,,,,,,,,,,
448,そう,,,,,,,,,,,,
452,やはり,,,,,,,,,,,,
454,そうです,,,,,,,,,,,,
464,なるほど,,,,,,,,,,,,
496,しばらく,,,,,,,,,,,,
503,かなり,,,,,,,,,,,,
509,まったく,,,,,,,,,,,,
514,とにかく,,,,,,,,,,,,
527,どうした,,,,,,,,,,,,
535,そろそろ,,,,,,,,,,,,
550,全然,,,,,,,,,,,,
564,どうやら,,,,,,,,,,,,
565,いきなり,,,,,,,,,,,,
577,突然,,,,,,,,,,,,
588,ようやく,,,,,,,,,,,,
593,再び,,,,,,,,,,,,
611,むしろ,,,,,,,,,,,,
616,さすがに,,,,,,,,,,,,
620,結構,,,,,,,,,,,,
625,どうぞ,,,,,,,,,,,,
627,とりあえず,,,,,,,,,,,,
631,いくら,,,,,,,,,,,,
633,正直,,,,,,,,,,,,
637,そういえば,,,,,,,,,,,,
642,すでに,,,,,,,,,,,,
655,どうしたの,,,,,,,,,,,,
665,せっかく,,,,,,,,,,,,
684,決して,,,,,,,,,,,,
694,どうも,,,,,,,,,,,,
696,どうしても,,,,,,,,,,,,
718,まずは,,,,,,,,,,,,
721,つい,,,,,,,,,,,,
731,いろいろ,,,,,,,,,,,,
732,そうする,,,,,,,,,,,,
754,全く,,,,,,,,,,,,
760,あんまり,,,,,,,,,,,,
764,わざわざ,,,,,,,,,,,,
767,はっきり,,,,,,,,,,,,
776,やっと,,,,,,,,,,,,
807,どうせ,,,,,,,,,,,,
814,さすが,,,,,,,,,,,,
833,よろしく,,,,,,,,,,,,
834,すっかり,,,,,,,,,,,,
855,どうか,,,,,,,,,,,,
905,どうやって,,,,,,,,,,,,
913,ちょうど,,,,,,,,,,,,
922,たとえ,,,,,,,,,,,,
924,どうしよう,,,,,,,,,,,,
929,どんどん,,,,,,,,,,,,
957,改めて,,,,,,,,,,,,
965,たまに,,,,,,,,,,,,
972,まだまだ,,,,,,,,,,,,
977,まさに,,,,,,,,,,,,
986,かつて,,,,,,,,,,,,
993,ついに,,,,,,,,,,,,
1014,ほぼ,,,,,,,,,,,,
1017,せめて,,,,,,,,,,,,
1040,偶然,,,,,,,,,,,,
1051,最も,,,,,,,,,,,,
1115,ごと,,,,,,,,,,,,
1149,たった,,,,,,,,,,,,
1170,少しでも,,,,,,,,,,,,
1212,もしかして,,,,,,,,,,,,
1254,やがて,,,,,,,,,,,,
1258,ふと,,,,,,,,,,,,
1265,そっか,,,,,,,,,,,,
1274,そっと,,,,,,,,,,,,
1278,色々,,,,,,,,,,,,
1287,そうですね,,,,,,,,,,,,
1300,じっと,,,,,,,,,,,,
1306,さっさ,,,,,,,,,,,,
1313,多分,,,,,,,,,,,,
1318,おそらく,,,,,,,,,,,,
1336,そうね,,,,,,,,,,,,
1343,もはや,,,,,,,,,,,,
1345,そう言う,,,,,,,,,,,,
