Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
27,だから,,그래서,,,,,,,,,,
37,じゃない,,아니야,,,,,,,,,,
39,なら,,만약에,,,,,,,,,,
60,なの,,,,,,,,,,,,
81,らしい,,,,,,,,,,,,
130,でした,,,,,,,,,,,,
190,なのに,,,,,,,,,,,,
213,べき,,,,,,,,,,,,
407,だけど,,,,,,,,,,,,
418,だろうか,,,,,,,,,,,,
422,なんです,,,,,,,,,,,,
428,じゃないか,,,,,,,,,,,,
446,だったら,,,,,,,,,,,,
463,なのだ,,,,,,,,,,,,
484,ですから,,,,,,,,,,,,
492,でしょうか,,,,,,,,,,,,
513,ならば,,,,,,,,,,,,
668,であろう,,,,,,,,,,,,
1147,なり,,,,,,,,,,,,
1241,やがる,,,,,,,,,,,,
1291,なのです,,,,,,,,,,,,
1302,だからこそ,,,,,,,,,,,,
1317,だよね,,,,,,,,,,,,
1331,す,,,,,,,,,,,,
1396,たる,,,,,,,,,,,,
1449,てる,,,,,,,,,,,,
1495,でございます,,,,,,,,,,,,
1855,とる,,,,,,,,,,,,
2060,だからって,,,,,,,,,,,,
2265,だっけ,,,,,,,,,,,,
2320,だもの,,,,,,,,,,,,
2503,べく,,,,,,,,,,,,
2801,っす,,,,,,,,,,,,
2935,でしたら,,,,,,,,,,,,
2985,らしき,,,,,,,,,,,,
3306,ごとき,,,,,,,,,,,,
3386,ごとく,,,,,,,,,,,,
3443,であります,,,,,,,,,,,,
3566,だろうに,,,,,,,,,,,,
3631,しめる,,,,,,,,,,,,
3655,だからといって,,,,,,,,,,,,
3781,なのである,,,,,,,,,,,,
4138,す,,,,,,,,,,,,
4340,如く,,,,,,,,,,,,
4456,じゃう,,,,,,,,,,,,
4666,たげる,,,,,,,,,,,,
4711,であるから,,,,,,,,,,,,
4773,つか,,,,,,,,,,,,
5259,ならともかく,,,,,,,,,,,,
5332,じゃなきゃ,,,,,,,,,,,,
5417,ってか,,,,,,,,,,,,
5759,だったろう,,,,,,,,,,,,
5817,とく,,,,,,,,,,,,
5931,べきではない,,,,,,,,,,,,
6083,べし,,,,,,,,,,,,
6112,ちゃう,,,,,,,,,,,,
6184,たりとも,,,,,,,,,,,,
6943,まいか,,,,,,,,,,,,
7249,ならでは,,,,,,,,,,,,
7519,つーか,,,,,,,,,,,,
7553,じゃろう,,,,,,,,,,,,
7603,如き,,,,,,,,,,,,
7705,っつー,,,,,,,,,,,,
7779,っしょ,,,,,,,,,,,,
7939,ちゃう,,,,,,,,,,,,
8461,だからと言って,,,,,,,,,,,,
8664,じゃろ,,,,,,,,,,,,
9362,じゃなさそう,,,,,,,,,,,,
9457,つうか,,,,,,,,,,,,
9727,てか,,,,,,,,,,,,
9732,たが,,,,,,,,,,,,
10007,だけれども,,,,,,,,,,,,
10090,っちゅう,,,,,,,,,,,,
10590,たろう,,,,,,,,,,,,
10999,らしからぬ,,,,,,,,,,,,
11602,っつーか,,,,,,,,,,,,
12162,なりと,,,,,,,,,,,,
12372,でなければならない,,,,,,,,,,,,
12488,やねん,,,,,,,,,,,,
14386,たかる,,,,,,,,,,,,
14886,たよう,,,,,,,,,,,,
15051,だのに,,,,,,,,,,,,
15208,也,,,,,,,,,,,,
15364,レ,,,,,,,,,,,,
15969,だったろ,,,,,,,,,,,,
16537,たし,,,,,,,,,,,,
16586,ます,,,,,,,,,,,,
16626,っつうか,,,,,,,,,,,,
16761,ずに,,,,,,,,,,,,
17127,ましょう,,,,,,,,,,,,
17280,らさ,,,,,,,,,,,,
17704,だけども,,,,,,,,,,,,
17911,べからず,,,,,,,,,,,,
18180,じまい,,,,,,,,,,,,
18434,んまい,,,,,,,,,,,,
18459,たるや,,,,,,,,,,,,
18682,ずいっ,,,,,,,,,,,,
18877,むる,,,,,,,,,,,,
19078,べくもない,,,,,,,,,,,,
19118,だからなんだ,,,,,,,,,,,,
19724,やか,,,,,,,,,,,,
19904,たらしめる,,,,,,,,,,,,
21639,でちゅ,,,,,,,,,,,,
21646,ちゅう,,,,,,,,,,,,
22575,ごとし,,,,,,,,,,,,
22987,べからざる,,,,,,,,,,,,
23005,まする,,,,,,,,,,,,
23479,らわ,,,,,,,,,,,,
23873,とく,,,,,,,,,,,,
24100,如し,,,,,,,,,,,,
24317,ちまう,,,,,,,,,,,,
24417,ちゃうか,,,,,,,,,,,,
24659,哉,,,,,,,,,,,,
24863,べくして,,,,,,,,,,,,
25052,だから何だ,,,,,,,,,,,,
25415,しゃーない,,,,,,,,,,,,
