Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
49,また,,다시,,,,,,,,,,
52,そして,,,,,,,,,,,,
84,ただ,,,,,,,,,,,,
85,しかし,,,,,,,,,,,,
385,けど,,,,,,,,,,,,
423,けれど,,,,,,,,,,,,
487,しかも,,,,,,,,,,,,
523,さらに,,,,,,,,,,,,
602,さて,,,,,,,,,,,,
615,でない,,,,,,,,,,,,
1002,であれば,,,,,,,,,,,,
1033,一方,,,,,,,,,,,,
1109,なお,,,,,,,,,,,,
1367,あるいは,,,,,,,,,,,,
1553,ただし,,,,,,,,,,,,
1736,もっとも,,,,,,,,,,,,
1937,からこそ,,,,,,,,,,,,
2048,からって,,,,,,,,,,,,
2234,かつ,,,,,,,,,,,,
2430,でして,,,,,,,,,,,,
2588,でないと,,,,,,,,,,,,
2719,からには,,,,,,,,,,,,
2823,更に,,,,,,,,,,,,
2879,けれども,,,,,,,,,,,,
3085,すなわち,,,,,,,,,,,,
3112,でござる,,,,,,,,,,,,
3185,もしくは,,,,,,,,,,,,
3202,じゃねぇ,,,,,,,,,,,,
3252,んで,,,,,,,,,,,,
4084,からすれば,,,,,,,,,,,,
4440,であれ,,,,,,,,,,,,
4502,または,,,,,,,,,,,,
4617,からといって,,,,,,,,,,,,
4632,ていい,,,,,,,,,,,,
5059,および,,,,,,,,,,,,
5329,からすると,,,,,,,,,,,,
5681,及び,,,,,,,,,,,,
6041,また今度,,,,,,,,,,,,
7425,じゃねー,,,,,,,,,,,,
8014,又,,,,,,,,,,,,
8117,尚,,,,,,,,,,,,
8397,即ち,,,,,,,,,,,,
8454,しかしながら,,,,,,,,,,,,
8623,じゃあね,,,,,,,,,,,,
9131,さておく,,,,,,,,,,,,
9163,しっかし,,,,,,,,,,,,
9263,ただ今,,,,,,,,,,,,
9560,じゃあるまいし,,,,,,,,,,,,
10048,唯,,,,,,,,,,,,
10335,からしたら,,,,,,,,,,,,
10386,からと言って,,,,,,,,,,,,
10654,からにする,,,,,,,,,,,,
11520,或いは,,,,,,,,,,,,
12126,からというもの,,,,,,,,,,,,
12639,また明日,,,,,,,,,,,,
13186,されど,,,,,,,,,,,,
14128,でならない,,,,,,,,,,,,
14420,只,,,,,,,,,,,,
14468,さてさて,,,,,,,,,,,,
15287,からなる,,,,,,,,,,,,
15318,てよい,,,,,,,,,,,,
16166,さりとて,,,,,,,,,,,,
16327,並びに,,,,,,,,,,,,
16354,じゃ無い,,,,,,,,,,,,
18771,からいって,,,,,,,,,,,,
18846,じゃどう,,,,,,,,,,,,
19782,尤も,,,,,,,,,,,,
19939,但し,,,,,,,,,,,,
20259,からに,,,,,,,,,,,,
20260,されば,,,,,,,,,,,,
21378,から元気,,,,,,,,,,,,
21543,またね,,,,,,,,,,,,
22668,且つ,,,,,,,,,,,,
22692,から風,,,,,,,,,,,,
23449,ないし,,,,,,,,,,,,
24250,がなる,,,,,,,,,,,,
24774,ただ一度,,,,,,,,,,,,
25680,乃至,,,,,,,,,,,,
