Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
22,まで,,까지,,,,,,,,,,
55,いや,,,,,,,,,,,,
387,はい,,,,,,,,,,,,
388,うん,,,,,,,,,,,,
405,ええ,,,,,,,,,,,,
433,おい,,,,,,,,,,,,
436,ありがとう,,,,,,,,,,,,
450,ほら,,,,,,,,,,,,
473,ううん,,,,,,,,,,,,
497,いえ,,,,,,,,,,,,
531,さあ,,,,,,,,,,,,
608,ごめんなさい,,,,,,,,,,,,
624,ありがとうございます,,,,,,,,,,,,
750,よし,,,,,,,,,,,,
900,よし,,,,,,,,,,,,
1005,ああ,,,,,,,,,,,,
1205,ねえ,,,,,,,,,,,,
1261,えっと,,,,,,,,,,,,
1339,いやいや,,,,,,,,,,,,
1346,いいえ,,,,,,,,,,,,
1351,そうそう,,,,,,,,,,,,
1496,おはよう,,,,,,,,,,,,
1538,ふん,,,,,,,,,,,,
1577,ほう,,,,,,,,,,,,
1681,ありがとうございました,,,,,,,,,,,,
1719,ありがと,,,,,,,,,,,,
1819,おいおい,,,,,,,,,,,,
2042,こんにちは,,,,,,,,,,,,
2077,おっと,,,,,,,,,,,,
2140,あっという間に,,,,,,,,,,,,
2200,おや,,,,,,,,,,,,
2406,までもない,,,,,,,,,,,,
2484,おめでとう,,,,,,,,,,,,
2641,いざ,,,,,,,,,,,,
2834,うむ,,,,,,,,,,,,
2896,おはようございます,,,,,,,,,,,,
2899,くそ,,,,,,,,,,,,
2906,ええと,,,,,,,,,,,,
2934,ねぇ,,,,,,,,,,,,
2940,やれやれ,,,,,,,,,,,,
3025,もしもし,,,,,,,,,,,,
3027,うんうん,,,,,,,,,,,,
3061,いやあ,,,,,,,,,,,,
3094,ふーん,,,,,,,,,,,,
3147,クソ,,,,,,,,,,,,
3166,ふうん,,,,,,,,,,,,
3181,おおい,,,,,,,,,,,,
3278,はーい,,,,,,,,,,,,
3391,えーと,,,,,,,,,,,,
3480,いえいえ,,,,,,,,,,,,
3643,くそっ,,,,,,,,,,,,
3910,ようこそ,,,,,,,,,,,,
4011,よいしょ,,,,,,,,,,,,
4022,よーし,,,,,,,,,,,,
4113,否,,,,,,,,,,,,
4408,きゃあ,,,,,,,,,,,,
4476,よしよし,,,,,,,,,,,,
4477,えーっと,,,,,,,,,,,,
4491,ほれ,,,,,,,,,,,,
4541,さようなら,,,,,,,,,,,,
4658,ほらほら,,,,,,,,,,,,
4659,きゃっ,,,,,,,,,,,,
4749,こんばんは,,,,,,,,,,,,
4770,ええっと,,,,,,,,,,,,
4833,よっしゃ,,,,,,,,,,,,
4842,さよなら,,,,,,,,,,,,
4859,ぐう,,,,,,,,,,,,
4913,おめでとうございます,,,,,,,,,,,,
5251,初めまして,,,,,,,,,,,,
5283,おかえりなさい,,,,,,,,,,,,
5658,おやすみなさい,,,,,,,,,,,,
5887,しっ,,,,,,,,,,,,
6633,までも,,,,,,,,,,,,
6667,いやいや,,,,,,,,,,,,
6809,うんと,,,,,,,,,,,,
7173,あおる,,,,,,,,,,,,
7252,またがる,,,,,,,,,,,,
7538,ううむ,,,,,,,,,,,,
7539,あのう,,,,,,,,,,,,
7599,ああん,,,,,,,,,,,,
8026,コラ,,,,,,,,,,,,
8102,クソッ,,,,,,,,,,,,
8192,のう,,,,,,,,,,,,
8194,キャー,,,,,,,,,,,,
8256,はて,,,,,,,,,,,,
8386,ほー,,,,,,,,,,,,
8413,ぎゃあ,,,,,,,,,,,,
8561,あーん,,,,,,,,,,,,
8649,ごきげんよう,,,,,,,,,,,,
8822,ふむふむ,,,,,,,,,,,,
8842,さあて,,,,,,,,,,,,
9127,どれどれ,,,,,,,,,,,,
9148,あっという間,,,,,,,,,,,,
9156,あて,,,,,,,,,,,,
9252,いやはや,,,,,,,,,,,,
9440,もとい,,,,,,,,,,,,
9849,さらば,,,,,,,,,,,,
9961,ささ,,,,,,,,,,,,
10074,あらら,,,,,,,,,,,,
10439,さあさあ,,,,,,,,,,,,
10535,あのー,,,,,,,,,,,,
10762,ようし,,,,,,,,,,,,
10785,いざとなったら,,,,,,,,,,,,
10944,くっそ,,,,,,,,,,,,
11150,ほほ,,,,,,,,,,,,
11338,ふんふん,,,,,,,,,,,,
11496,うなされる,,,,,,,,,,,,
12152,それっ,,,,,,,,,,,,
12164,はいよ,,,,,,,,,,,,
13031,いざとなれば,,,,,,,,,,,,
13989,ほほほ,,,,,,,,,,,,
13991,ぎゃっ,,,,,,,,,,,,
14004,あれれ,,,,,,,,,,,,
14493,うか,,,,,,,,,,,,
14553,キャッ,,,,,,,,,,,,
14776,なんちゃって,,,,,,,,,,,,
14914,おわ,,,,,,,,,,,,
15084,すわ,,,,,,,,,,,,
15772,とでもいうよう,,,,,,,,,,,,
15824,ほらね,,,,,,,,,,,,
15843,あっそ,,,,,,,,,,,,
16497,う〜ん,,,,,,,,,,,,
16899,けしからん,,,,,,,,,,,,
17033,とでも言うよう,,,,,,,,,,,,
17063,うっとい,,,,,,,,,,,,
17230,ふうう,,,,,,,,,,,,
17687,ギャー,,,,,,,,,,,,
17925,いざ知らず,,,,,,,,,,,,
18541,けぇ,,,,,,,,,,,,
18587,せえの,,,,,,,,,,,,
18622,おっす,,,,,,,,,,,,
18640,やったあ,,,,,,,,,,,,
18705,けない,,,,,,,,,,,,
18721,ほれほれ,,,,,,,,,,,,
18935,くっそう,,,,,,,,,,,,
19274,嗚呼,,,,,,,,,,,,
19311,あいや,,,,,,,,,,,,
19873,たあ,,,,,,,,,,,,
20045,おさらば,,,,,,,,,,,,
20067,おっとっと,,,,,,,,,,,,
20528,おいおい,,,,,,,,,,,,
20668,エイ,,,,,,,,,,,,
20681,んとする,,,,,,,,,,,,
21066,ひょう,,,,,,,,,,,,
21295,あれあれ,,,,,,,,,,,,
21363,あばよ,,,,,,,,,,,,
21547,あえない,,,,,,,,,,,,
22602,おおきに,,,,,,,,,,,,
22766,あらまあ,,,,,,,,,,,,
22957,ゲッ,,,,,,,,,,,,
23041,あちゃー,,,,,,,,,,,,
23334,ららら,,,,,,,,,,,,
23638,おらおら,,,,,,,,,,,,
23847,よよ,,,,,,,,,,,,
23992,あっと言う間に,,,,,,,,,,,,
24042,おほほ,,,,,,,,,,,,
24541,あいたた,,,,,,,,,,,,
24601,ささ,,,,,,,,,,,,
24754,うわーん,,,,,,,,,,,,
24802,おやっさん,,,,,,,,,,,,
24903,えだる,,,,,,,,,,,,
24946,有難う,,,,,,,,,,,,
24991,オー,,,,,,,,,,,,
25396,おね,,,,,,,,,,,,
25454,あて,,,,,,,,,,,,
25489,ハーイ,,,,,,,,,,,,
26025,やあやあ,,,,,,,,,,,,
26085,ごめんください,,,,,,,,,,,,
