Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
3,こと,,1. 여성어 (활용어의 종지형·연체형에 붙어) 2. 감동을 나타냄. 3. 질문의 뜻을 나타냄.,,,,,,,,,,
23,もの,,"1. 것, 물건, 물체, 물질(구체적이며 감각적으로 포착되는 대상). (→事) 2. (もの) 무엇, 어떤, 일, 말, 물정, 사리(어떤 일·대상을 막연하게 하는 말). 3. (형용사 따위, 상태·심정을 나타내는 말 앞에 붙여) 어쩐지; 어딘지.",,,,,,,,,,
32,人,,"1. 사람. 2. 인류, 인간. 3. (집단이 아닌) 개인; 또, 특별한 관계에 있는 사람.",,,,,,,,,,
36,自分,,"1. 자기, 자신, 스스로. 2. 나, 저. 3. 자(서)전. (=自伝)",,,,,,,,,,
40,今,,"1. 지금, 이제, 현재. 2. 현대, 오늘날. 3. 지금, 이제.",,,,,,,,,,
44,前,,"1. 끝. 2. 앞, 선두. 3. 앞쪽, 전방.",,,,,,,,,,
46,中,,"1. (공간·조직 등의) 내부, 속, 안. 2. 중앙, (한)가운데. 3. 중간, 사이, 틈, 속.",,,,,,,,,,
48,顔,,"1. 얼굴. 2. 낯. 3. 얼굴 표정, 기색, 눈치.",,,,,,,,,,
53,ため,,"1. 이익·행복 등 유리한 것, 위함. 2. (체언(体言)＋‘の’ ‘が’, 또는 용언(用言)[주로 동사, 또는 거기에 조동사가 붙은 것]의 연체형(連体形), 또는, 그것에 ‘’가 붙은 꼴에 이어져서) 그 사항이 다음에 말하는 것의 목적임을 나타내는 말: 위함. 3. (체언(体言)＋‘の’ ‘が’ 또는 용언(用言), 특히 과거·완료의 조동사가 붙은 것의 연체형(連体形), 또는 그것에 ‘が’가 붙은 꼴에 이어져서) 그 사항이 다음에 진술하는 일의 근거[원인, 이유]가 됨을 나타내는 말: 때문; ...",,,,,,,,,,
58,話,,"1. 이야기, 말. 2. 상의, 의논, 교섭. 3. 소문, 풍문.",,,,,,,,,,
63,ところ,,1. 곳. 2. 장소. 3. 데.,,,,,,,,,,
65,たち,,"1. 질. 2. 사람의 타고난 성질·체질. 3. (사물의) 성질, 품질.",,,,,,,,,,
67,声,,1. 소리. 2. 목소리. 3. 물건이 진동하여 내는 소리.,,,,,,,,,,
71,手,,"1. 손. 2. (인체의) 손, 손목(동물의 앞다리를 가리키는 경우도 있음). 3. 손바닥.",,,,,,,,,,
73,方,,"1. 방면. 2. 방향, 쪽. 3. 부면, 어떤 분야.",,,,,,,,,,
74,目,,"1. 눈. 2. 안구(眼球), 눈알. 3. (め·目)",,,,,,,,,,
75,男,,"1. 남자, 남성. (↔女) 2. 사나이다움, 대장부. 3. 성인 남자.",,,,,,,,,,
76,本当,,"1. 진실, 정말, 진짜, 사실, 진정함. (↔嘘) 2. 정상임, 제대로임. 3. (‘本当に'의 꼴로) 정말이지, 실로, 참으로.",,,,,,,,,,
78,今日,,1. 오늘. 2. 금일. 3. 같은 날짜[요일]의 날.,,,,,,,,,,
80,言葉,,"1. 말. 2. (말하는) 말, 이야기. 3. 언어.",,,,,,,,,,
89,時,,"1. 시간, 시각. 2. (일주야의 구분인) 시, 시각. 3. 특정한 시기.",,,,,,,,,,
90,家,,1. 집. 2. 주택. 3. 자택.,,,,,,,,,,
94,人間,,"1. 인간. 2. 사람. 3. 사람이 사는 곳, 세상.",,,,,,,,,,
96,上,,1. 위. (↔下) 2. 위쪽. 3. 손윗사람을 이를 때 덧붙이는 말.,,,,,,,,,,
102,時間,,"1. 시간, 때, 시각. 2. 時間 じかん . 3. 時 とき , タイム.",,,,,,,,,,
103,部屋,,"1. 방. 2. 헛간, 광. 3. 궁중에서 궁녀가 거처하는 방. (=つぼね)",,,,,,,,,,
104,わけ,,"1. 의미, 뜻. 2. 도리, 사리(事理). 3. 원인, 사정, 이유.",,,,,,,,,,
108,まま,,1. (흔히 형식 명사적으로 쓰이어) 2. 되는 대로 맡김: …대로. 3. (그 상태) 그대로임: …채.,,,,,,,,,,
116,姿,,"1. 모양. 2. 모습, 형체, 자태, 풍채. 3. 형편, 상태.",,,,,,,,,,
117,頭,,"1. 머리. 2. 두부(頭部). (=かしら, こうべ) 3. 두발, 머리칼.",,,,,,,,,,
120,いつも,,"1. 여느 때, 보통 때. (=ふだん) 2. 언제나, 늘. (=常に) 3. 普段。",,,,,,,,,,
122,一緒に,,"1. 함께, 같이. 2. 두 사람 이상이 행동을 같이함. 3. 함께함, 같이함.",,,,,,,,,,
124,相手,,1. 상대. 2. 함께 무엇을 하는 사람. 3. (서로 겨루는) 적수.,,,,,,,,,,
126,みんな,,"1. 구어 모두, 전부. 2. [인물명] 밍 나(Ming-Na, 溫明娜, 온명나, 1963년 11월 20일 - )는 미국의 배우. 3. [지명] 沖縄섬 북부, 本部반도 서쪽 해상에 있는 섬.",,,,,,,,,,
127,音,,"1. 소리. 2. 소문, 평판. (=噂) 3. 소식, 음신(音信). (=たより)",,,,,,,,,,
