Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
5,それ,,그것,,,,,,,,,,
8,この,,이것,,,,,,,,,,
9,その,,그것,,,,,,,,,,
13,私,,나,,,,,,,,,,
15,これ,,이것,,,,,,,,,,
29,あの,,저기,,,,,,,,,,
33,ここ,,여기,,,,,,,,,,
43,何,,무엇,,,,,,,,,,
59,そこ,,,,,,,,,,,,
70,何,,,,,,,,,,,,
77,あなた,,,,,,,,,,,,
91,あれ,,,,,,,,,,,,
92,彼,,,,,,,,,,,,
100,どこ,,,,,,,,,,,,
113,何か,,,,,,,,,,,,
146,誰,,,,,,,,,,,,
156,こちら,,,,,,,,,,,,
167,何も,,,,,,,,,,,,
187,大きな,,,,,,,,,,,,
194,それでも,,,,,,,,,,,,
195,これから,,,,,,,,,,,,
206,誰か,,,,,,,,,,,,
227,どういう,,,,,,,,,,,,
231,どこか,,,,,,,,,,,,
240,いつ,,,,,,,,,,,,
256,このまま,,,,,,,,,,,,
274,誰も,,,,,,,,,,,,
386,俺,,,,,,,,,,,,
389,お前,,,,,,,,,,,,
390,彼女,,,,,,,,,,,,
391,君,,,,,,,,,,,,
396,僕,,,,,,,,,,,,
397,なんか,,,,,,,,,,,,
400,なんだ,,,,,,,,,,,,
401,なんだ,,,,,,,,,,,,
412,こっち,,,,,,,,,,,,
416,なんで,,,,,,,,,,,,
432,あんた,,,,,,,,,,,,
449,それから,,,,,,,,,,,,
466,小さな,,,,,,,,,,,,
472,あいつ,,,,,,,,,,,,
521,そこまで,,,,,,,,,,,,
532,こいつ,,,,,,,,,,,,
536,私たち,,,,,,,,,,,,
538,彼ら,,,,,,,,,,,,
651,あれ,,,,,,,,,,,,
658,その時,,,,,,,,,,,,
671,これ以上,,,,,,,,,,,,
741,いつか,,,,,,,,,,,,
765,そっち,,,,,,,,,,,,
773,なんとか,,,,,,,,,,,,
780,どれ,,,,,,,,,,,,
790,あの人,,,,,,,,,,,,
792,それでは,,,,,,,,,,,,
794,その場,,,,,,,,,,,,
797,あそこ,,,,,,,,,,,,
803,これまで,,,,,,,,,,,,
828,この人,,,,,,,,,,,,
860,そのため,,,,,,,,,,,,
885,どちら,,,,,,,,,,,,
906,どっち,,,,,,,,,,,,
934,いずれ,,,,,,,,,,,,
935,それにしても,,,,,,,,,,,,
940,そのもの,,,,,,,,,,,,
958,どれだけ,,,,,,,,,,,,
964,それ以上,,,,,,,,,,,,
985,それまで,,,,,,,,,,,,
991,同じよう,,,,,,,,,,,,
998,何より,,,,,,,,,,,,
1000,そのこと,,,,,,,,,,,,
1020,誰にも,,,,,,,,,,,,
1043,どの,,,,,,,,,,,,
1073,その日,,,,,,,,,,,,
1087,いつまでも,,,,,,,,,,,,
1096,その中,,,,,,,,,,,,
1110,その人,,,,,,,,,,,,
1177,このよう,,,,,,,,,,,,
1182,そのうち,,,,,,,,,,,,
1200,いわゆる,,,,,,,,,,,,
1213,俺たち,,,,,,,,,,,,
1223,なんだか,,,,,,,,,,,,
1226,君,,,,,,,,,,,,
1238,何だ,,,,,,,,,,,,
1243,そりゃ,,,,,,,,,,,,
1249,あの子,,,,,,,,,,,,
1255,我々,,,,,,,,,,,,
1262,何で,,,,,,,,,,,,
1298,かのように,,,,,,,,,,,,
1324,そいつ,,,,,,,,,,,,
1340,それじゃ,,,,,,,,,,,,
1376,なんじゃ,,,,,,,,,,,,
1386,なんでも,,,,,,,,,,,,
1405,それら,,,,,,,,,,,,
1411,何とか,,,,,,,,,,,,
1415,我が,,,,,,,,,,,,
1424,そちら,,,,,,,,,,,,
1433,何でも,,,,,,,,,,,,
1435,それに,,,,,,,,,,,,
1447,そのよう,,,,,,,,,,,,
1456,それで,,,,,,,,,,,,
1471,いつの間にか,,,,,,,,,,,,
1472,我,,,,,,,,,,,,
1519,それじゃあ,,,,,,,,,,,,
1548,なんとなく,,,,,,,,,,,,
1557,何もない,,,,,,,,,,,,
1559,そんなもの,,,,,,,,,,,,
1596,あっち,,,,,,,,,,,,
1601,その間,,,,,,,,,,,,
1605,その手,,,,,,,,,,,,
1606,大した,,,,,,,,,,,,
1715,こら,,,,,,,,,,,,
1768,ほんの,,,,,,,,,,,,
1776,この前,,,,,,,,,,,,
1783,あいつら,,,,,,,,,,,,
1798,あらゆる,,,,,,,,,,,,
1799,いろんな,,,,,,,,,,,,
1875,その通り,,,,,,,,,,,,
1915,何だか,,,,,,,,,,,,
1959,どっか,,,,,,,,,,,,
1960,その上,,,,,,,,,,,,
2011,なんでもない,,,,,,,,,,,,
2041,あちこち,,,,,,,,,,,,
2051,おかしな,,,,,,,,,,,,
2101,ある程度,,,,,,,,,,,,
2113,何もかも,,,,,,,,,,,,
2157,この間,,,,,,,,,,,,
2203,んな,,,,,,,,,,,,
2215,こりゃ,,,,,,,,,,,,
2266,誰でも,,,,,,,,,,,,
2300,どこにも,,,,,,,,,,,,
2326,どこまでも,,,,,,,,,,,,
2331,何でもない,,,,,,,,,,,,
2369,その先,,,,,,,,,,,,
2370,単なる,,,,,,,,,,,,
2380,ある日,,,,,,,,,,,,
2398,どのよう,,,,,,,,,,,,
2450,これら,,,,,,,,,,,,
2509,この手,,,,,,,,,,,,
2520,どちらも,,,,,,,,,,,,
2562,あちら,,,,,,,,,,,,
2568,いつから,,,,,,,,,,,,
2616,この中,,,,,,,,,,,,
2699,その他,,,,,,,,,,,,
2784,どのように,,,,,,,,,,,,
2786,ある人,,,,,,,,,,,,
2792,あたし,,,,,,,,,,,,
2800,貴様,,,,,,,,,,,,
2809,お前ら,,,,,,,,,,,,
2814,わし,,,,,,,,,,,,
2829,己,,,,,,,,,,,,
2836,わたくし,,,,,,,,,,,,
2872,っち,,,,,,,,,,,,
2878,私達,,,,,,,,,,,,
2880,君たち,,,,,,,,,,,,
2892,僕たち,,,,,,,,,,,,
2902,お前たち,,,,,,,,,,,,
2916,貴方,,,,,,,,,,,,
2917,僕ら,,,,,,,,,,,,
2954,そりゃあ,,,,,,,,,,,,
