Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
17,だけ,,뿐,,,,,,,,,,
25,という,,라는,,,,,,,,,,
35,とする,,하려고 하다,,,,,,,,,,
61,ではない,,,,,,,,,,,,
79,ほど,,,,,,,,,,,,
82,として,,,,,,,,,,,,
83,など,,,,,,,,,,,,
106,かもしれない,,,,,,,,,,,,
114,のように,,,,,,,,,,,,
136,くらい,,,,,,,,,,,,
147,による,,,,,,,,,,,,
152,となる,,,,,,,,,,,,
179,について,,,,,,,,,,,,
180,よりも,,,,,,,,,,,,
185,にとって,,,,,,,,,,,,
212,かも,,,,,,,,,,,,
264,でもない,,,,,,,,,,,,
294,としても,,,,,,,,,,,,
344,に対して,,,,,,,,,,,,
358,としては,,,,,,,,,,,,
366,かどうか,,,,,,,,,,,,
382,になると,,,,,,,,,,,,
493,ではある,,,,,,,,,,,,
512,しかない,,,,,,,,,,,,
543,というのは,,,,,,,,,,,,
619,ぐらい,,,,,,,,,,,,
757,と言われる,,,,,,,,,,,,
775,と言う,,,,,,,,,,,,
793,と言った,,,,,,,,,,,,
816,だけに,,,,,,,,,,,,
837,に対する,,,,,,,,,,,,
844,ということは,,,,,,,,,,,,
877,というもの,,,,,,,,,,,,
890,ではないか,,,,,,,,,,,,
956,かもしれません,,,,,,,,,,,,
960,において,,,,,,,,,,,,
966,と思われる,,,,,,,,,,,,
976,と同時に,,,,,,,,,,,,
1013,のせいで,,,,,,,,,,,,
1064,きり,,,,,,,,,,,,
1074,にしても,,,,,,,,,,,,
1085,とともに,,,,,,,,,,,,
1086,に向けて,,,,,,,,,,,,
1102,というより,,,,,,,,,,,,
1104,といい,,,,,,,,,,,,
1156,でもある,,,,,,,,,,,,
1160,といえば,,,,,,,,,,,,
1194,ずつ,,,,,,,,,,,,
1202,にかけて,,,,,,,,,,,,
1222,というか,,,,,,,,,,,,
1273,と共に,,,,,,,,,,,,
1338,っていう,,,,,,,,,,,,
1412,というのに,,,,,,,,,,,,
1418,っていうか,,,,,,,,,,,,
1446,って言う,,,,,,,,,,,,
1466,ってのは,,,,,,,,,,,,
1482,に関して,,,,,,,,,,,,
1527,ということだ,,,,,,,,,,,,
1643,となると,,,,,,,,,,,,
1644,とはいえ,,,,,,,,,,,,
1656,と同じように,,,,,,,,,,,,
1723,かあ,,,,,,,,,,,,
1728,にしては,,,,,,,,,,,,
1744,と思ったら,,,,,,,,,,,,
1803,に置いて,,,,,,,,,,,,
1862,だけでなく,,,,,,,,,,,,
1962,と言い,,,,,,,,,,,,
1986,と言えば,,,,,,,,,,,,
2034,といっても,,,,,,,,,,,,
2111,というのも,,,,,,,,,,,,
2144,とのこと,,,,,,,,,,,,
2174,に対し,,,,,,,,,,,,
2301,とすると,,,,,,,,,,,,
2305,というと,,,,,,,,,,,,
2313,における,,,,,,,,,,,,
2322,となれば,,,,,,,,,,,,
2352,と言っても,,,,,,,,,,,,
2367,によると,,,,,,,,,,,,
2378,に似て,,,,,,,,,,,,
2463,に比べ,,,,,,,,,,,,
2486,かと思うと,,,,,,,,,,,,
2508,を通して,,,,,,,,,,,,
2532,にしておく,,,,,,,,,,,,
2541,にもかかわらず,,,,,,,,,,,,
2554,に従って,,,,,,,,,,,,
2679,というものは,,,,,,,,,,,,
2839,さぁ,,,,,,,,,,,,
2901,ていうか,,,,,,,,,,,,
2905,程,,,,,,,,,,,,
3020,かもしれん,,,,,,,,,,,,
3171,かも知れない,,,,,,,,,,,,
3213,に過ぎない,,,,,,,,,,,,
3243,かもね,,,,,,,,,,,,
3292,んち,,,,,,,,,,,,
3416,さえも,,,,,,,,,,,,
3502,っきり,,,,,,,,,,,,
3523,のあまり,,,,,,,,,,,,
3882,というところ,,,,,,,,,,,,
4054,なんぞ,,,,,,,,,,,,
4071,どころ,,,,,,,,,,,,
4101,というわけだ,,,,,,,,,,,,
4136,すらも,,,,,,,,,,,,
4231,に限って,,,,,,,,,,,,
4287,に決まっている,,,,,,,,,,,,
4390,かといって,,,,,,,,,,,,
4537,さえあれば,,,,,,,,,,,,
4570,に従い,,,,,,,,,,,,
4596,とは限らない,,,,,,,,,,,,
4761,といえど,,,,,,,,,,,,
4879,かと思えば,,,,,,,,,,,,
5083,に当たって,,,,,,,,,,,,
5177,くらいなら,,,,,,,,,,,,
5178,さえすれば,,,,,,,,,,,,
5223,と比べて,,,,,,,,,,,,
5281,に応じて,,,,,,,,,,,,
5307,に備えて,,,,,,,,,,,,
5410,せえ,,,,,,,,,,,,
5609,のみならず,,,,,,,,,,,,
5638,だけあって,,,,,,,,,,,,
5693,と言うと,,,,,,,,,,,,
5775,に沿って,,,,,,,,,,,,
5816,をもって,,,,,,,,,,,,
5935,につき,,,,,,,,,,,,
5963,と考えられる,,,,,,,,,,,,
6007,に加え,,,,,,,,,,,,
6193,やしない,,,,,,,,,,,,
6264,に加えて,,,,,,,,,,,,
6479,だけしか,,,,,,,,,,,,
6552,に取って,,,,,,,,,,,,
6599,に反して,,,,,,,,,,,,
6735,を回って,,,,,,,,,,,,
6808,をおいて,,,,,,,,,,,,
6868,にわたって,,,,,,,,,,,,
6887,と言ってもいい,,,,,,,,,,,,
7103,か否か,,,,,,,,,,,,
7119,を巡って,,,,,,,,,,,,
7137,につれ,,,,,,,,,,,,
7168,にあたり,,,,,,,,,,,,
7237,に当たり,,,,,,,,,,,,
7269,に限らず,,,,,,,,,,,,
7270,も一つ,,,,,,,,,,,,
7276,と見られる,,,,,,,,,,,,
7399,に基づいて,,,,,,,,,,,,
7721,なんざ,,,,,,,,,,,,
7821,けども,,,,,,,,,,,,
7877,にも関わらず,,,,,,,,,,,,
7911,に付いて,,,,,,,,,,,,
8140,程に,,,,,,,,,,,,
8184,と言うか,,,,,,,,,,,,
8390,では無い,,,,,,,,,,,,
8435,の様に,,,,,,,,,,,,
8530,と言って,,,,,,,,,,,,
8814,とかなんとか,,,,,,,,,,,,
8832,だけでいい,,,,,,,,,,,,
8946,ではなさそう,,,,,,,,,,,,
9054,と言うより,,,,,,,,,,,,
9124,程がある,,,,,,,,,,,,
9154,や否や,,,,,,,,,,,,
9288,ときたら,,,,,,,,,,,,
9299,と言うのは,,,,,,,,,,,,
9428,かも知れません,,,,,,,,,,,,
9787,宛,,,,,,,,,,,,
10192,としたことが,,,,,,,,,,,,
10382,って言うか,,,,,,,,,,,,
10452,ということはない,,,,,,,,,,,,
10481,に越したことはない,,,,,,,,,,,,
10742,とも言う,,,,,,,,,,,,
10801,よか,,,,,,,,,,,,
10825,に就いて,,,,,,,,,,,,
10885,しも,,,,,,,,,,,,
11079,に付き,,,,,,,,,,,,
11112,ばかりでなく,,,,,,,,,,,,
11158,ではなかろうか,,,,,,,,,,,,
11355,と書いてある,,,,,,,,,,,,
11356,との事,,,,,,,,,,,,
11669,にしろ,,,,,,,,,,,,
11741,かと言って,,,,,,,,,,,,
12140,て言うか,,,,,,,,,,,,
12195,乃,,,,,,,,,,,,
12219,を介して,,,,,,,,,,,,
12620,に渡って,,,,,,,,,,,,
12755,が早いか,,,,,,,,,,,,
12794,くらいのもの,,,,,,,,,,,,
12846,かもしんない,,,,,,,,,,,,
12947,とか何とか,,,,,,,,,,,,
13456,となったら,,,,,,,,,,,,
13467,などなど,,,,,,,,,,,,
13487,と言っても過言ではない,,,,,,,,,,,,
13656,と言えど,,,,,,,,,,,,
13690,ながらに,,,,,,,,,,,,
14119,と言うのに,,,,,,,,,,,,
14143,かする,,,,,,,,,,,,
14209,にかけては,,,,,,,,,,,,
14414,ほどなくして,,,,,,,,,,,,
14523,のたびに,,,,,,,,,,,,
14546,かさ,,,,,,,,,,,,
14896,だけのことはある,,,,,,,,,,,,
14916,でも無い,,,,,,,,,,,,
14948,に際して,,,,,,,,,,,,
15139,には及ばない,,,,,,,,,,,,
15376,てもいい,,,,,,,,,,,,
15486,に伴い,,,,,,,,,,,,
16278,に渡り,,,,,,,,,,,,
16310,に関し,,,,,,,,,,,,
16595,ばかし,,,,,,,,,,,,
16741,とおぼしい,,,,,,,,,,,,
16871,ん家,,,,,,,,,,,,
17346,の余り,,,,,,,,,,,,
17652,と言うことは,,,,,,,,,,,,
17710,もさることながら,,,,,,,,,,,,
17962,に伴って,,,,,,,,,,,,
18307,の度に,,,,,,,,,,,,
18629,としたって,,,,,,,,,,,,
18792,にも拘らず,,,,,,,,,,,,
