Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
34,お,,お: 존경 또는 공손함을 나타내는 접두사,,,,,,,,,,
322,大,,,,,,,,,,,,
973,第一,,,,,,,,,,,,
1054,お話,,,,,,,,,,,,
1301,お願いします,,,,,,,,,,,,
1375,お互い,,,,,,,,,,,,
1399,お茶,,,,,,,,,,,,
1461,超,,,,,,,,,,,,
1673,第二,,,,,,,,,,,,
2172,おいで,,,,,,,,,,,,
2222,お話し,,,,,,,,,,,,
2226,各,,,,,,,,,,,,
2290,約,,,,,,,,,,,,
2379,大,,,,,,,,,,,,
2391,お互いに,,,,,,,,,,,,
3083,お風呂,,,,,,,,,,,,
3126,第三,,,,,,,,,,,,
3246,お酒,,,,,,,,,,,,
3351,お疲れ,,,,,,,,,,,,
3441,お昼,,,,,,,,,,,,
3452,故,,,,,,,,,,,,
3551,お帰り,,,,,,,,,,,,
3591,お弁当,,,,,,,,,,,,
3593,お休み,,,,,,,,,,,,
3616,お手伝い,,,,,,,,,,,,
3793,お湯,,,,,,,,,,,,
3808,お言葉,,,,,,,,,,,,
3977,お方,,,,,,,,,,,,
3998,お返し,,,,,,,,,,,,
4179,お断り,,,,,,,,,,,,
4196,お待たせしました,,,,,,,,,,,,
4202,お別れ,,,,,,,,,,,,
4257,おばあちゃん,,,,,,,,,,,,
4266,お久しぶり,,,,,,,,,,,,
4304,お姫様,,,,,,,,,,,,
4352,ご迷惑,,,,,,,,,,,,
4461,お土産,,,,,,,,,,,,
4532,お呼び,,,,,,,,,,,,
4533,お部屋,,,,,,,,,,,,
4627,再,,,,,,,,,,,,
4677,副,,,,,,,,,,,,
4762,現,,,,,,,,,,,,
4907,ご褒美,,,,,,,,,,,,
4979,総,,,,,,,,,,,,
5005,お似合い,,,,,,,,,,,,
5168,ご両親,,,,,,,,,,,,
5169,ご一緒,,,,,,,,,,,,
5385,お目にかかる,,,,,,,,,,,,
5398,お楽しみ,,,,,,,,,,,,
5463,第四,,,,,,,,,,,,
5604,お詫び,,,,,,,,,,,,
5611,ご挨拶,,,,,,,,,,,,
5808,不,,,,,,,,,,,,
5835,お顔,,,,,,,,,,,,
5985,お約束,,,,,,,,,,,,
6013,お帰りなさい,,,,,,,,,,,,
6108,お時間,,,,,,,,,,,,
6152,おかわり,,,,,,,,,,,,
6236,お付き合い,,,,,,,,,,,,
6267,おつもり,,,,,,,,,,,,
6429,お風呂に入る,,,,,,,,,,,,
6526,ご案内,,,,,,,,,,,,
6553,お越し,,,,,,,,,,,,
6558,お供,,,,,,,,,,,,
6574,おやおや,,,,,,,,,,,,
6614,お連れ,,,,,,,,,,,,
6696,お使い,,,,,,,,,,,,
6831,物足りない,,,,,,,,,,,,
6841,お伺い,,,,,,,,,,,,
6964,お見通し,,,,,,,,,,,,
6970,ごゆっくり,,,,,,,,,,,,
7201,各,,,,,,,,,,,,
7359,第一歩,,,,,,,,,,,,
7387,相次ぐ,,,,,,,,,,,,
7414,お姉,,,,,,,,,,,,
7491,お嬢,,,,,,,,,,,,
7505,ご主人様,,,,,,,,,,,,
7507,おじいちゃん,,,,,,,,,,,,
7610,ご主人,,,,,,,,,,,,
8009,おじいさん,,,,,,,,,,,,
8015,双,,,,,,,,,,,,
8035,お嫁さん,,,,,,,,,,,,
8136,お茶会,,,,,,,,,,,,
8202,お皿,,,,,,,,,,,,
8291,第五,,,,,,,,,,,,
8441,お仕置き,,,,,,,,,,,,
8589,大歓迎,,,,,,,,,,,,
8801,お金持ち,,,,,,,,,,,,
8820,お祈り,,,,,,,,,,,,
9074,ど真ん中,,,,,,,,,,,,
9237,おばあさん,,,,,,,,,,,,
9330,お水,,,,,,,,,,,,
9368,真っ二つに,,,,,,,,,,,,
9409,相まって,,,,,,,,,,,,
9458,おでこ,,,,,,,,,,,,
9691,お宝,,,,,,,,,,,,
9709,お父,,,,,,,,,,,,
9782,お願いいたします,,,,,,,,,,,,
9842,お互い様,,,,,,,,,,,,
9859,おねだり,,,,,,,,,,,,
9885,ご協力,,,,,,,,,,,,
9886,お気に召す,,,,,,,,,,,,
9894,ご丁寧,,,,,,,,,,,,
9969,ご令嬢,,,,,,,,,,,,
10077,お医者さん,,,,,,,,,,,,
10247,お先に,,,,,,,,,,,,
10258,一大,,,,,,,,,,,,
10323,お人好し,,,,,,,,,,,,
10339,被,,,,,,,,,,,,
10700,お代わり,,,,,,,,,,,,
10714,お盆,,,,,,,,,,,,
10760,大怪我,,,,,,,,,,,,
10794,お手,,,,,,,,,,,,
10820,故,,,,,,,,,,,,
10907,大問題,,,,,,,,,,,,
10912,聖剣,,,,,,,,,,,,
10993,お小遣い,,,,,,,,,,,,
11053,お見合い,,,,,,,,,,,,
11068,お構いなし,,,,,,,,,,,,
11120,おは,,,,,,,,,,,,
11135,低,,,,,,,,,,,,
11307,突,,,,,,,,,,,,
11396,絶,,,,,,,,,,,,
11508,お見事,,,,,,,,,,,,
11779,お預け,,,,,,,,,,,,
11808,お電話,,,,,,,,,,,,
11835,ご心配なく,,,,,,,,,,,,
11910,大活躍,,,,,,,,,,,,
11972,ごもっとも,,,,,,,,,,,,
11996,お米,,,,,,,,,,,,
12026,お届け,,,,,,,,,,,,
12175,おまじない,,,,,,,,,,,,
12288,お気になさらず,,,,,,,,,,,,
12596,小部屋,,,,,,,,,,,,
12823,お泊まり,,,,,,,,,,,,
12899,お返事,,,,,,,,,,,,
12979,お荷物,,,,,,,,,,,,
13061,お手本,,,,,,,,,,,,
13154,お体,,,,,,,,,,,,
13233,ご注文,,,,,,,,,,,,
13286,お決まり,,,,,,,,,,,,
13333,大混乱,,,,,,,,,,,,
13471,ご連絡,,,,,,,,,,,,
13550,お天気,,,,,,,,,,,,
14034,お大事に,,,,,,,,,,,,
14163,お尋ね,,,,,,,,,,,,
14200,最下層,,,,,,,,,,,,
14442,お座り,,,,,,,,,,,,
14458,大間違い,,,,,,,,,,,,
14470,おもてなし,,,,,,,,,,,,
14471,お暇,,,,,,,,,,,,
14533,おめでたい,,,,,,,,,,,,
14681,お行儀,,,,,,,,,,,,
14724,お偉いさん,,,,,,,,,,,,
14779,お出まし,,,,,,,,,,,,
14879,お忍び,,,,,,,,,,,,
15041,おいでになる,,,,,,,,,,,,
15055,お爺さん,,,,,,,,,,,,
15152,大爆発,,,,,,,,,,,,
15229,お寺,,,,,,,,,,,,
15240,第一声,,,,,,,,,,,,
15251,お得,,,,,,,,,,,,
15293,お役目,,,,,,,,,,,,
15330,非現実的,,,,,,,,,,,,
15443,お気の毒,,,,,,,,,,,,
15470,お婆さん,,,,,,,,,,,,
15540,ご立派,,,,,,,,,,,,
15557,相反する,,,,,,,,,,,,
15733,お墨付き,,,,,,,,,,,,
15740,お茶を淹れる,,,,,,,,,,,,
15767,脱,,,,,,,,,,,,
15890,お笑い,,,,,,,,,,,,
15933,お好み,,,,,,,,,,,,
16235,お開き,,,,,,,,,,,,
16298,お待ちかね,,,,,,,,,,,,
16325,非礼,,,,,,,,,,,,
16434,お願いできますか,,,,,,,,,,,,
16444,小一時間,,,,,,,,,,,,
16514,お医者様,,,,,,,,,,,,
16685,猛スピード,,,,,,,,,,,,
16750,お勤め,,,,,,,,,,,,
16882,おそば,,,,,,,,,,,,
16989,クソ野郎,,,,,,,,,,,,
17110,お見えになる,,,,,,,,,,,,
17201,お膳立て,,,,,,,,,,,,
17219,お正月,,,,,,,,,,,,
17317,お目,,,,,,,,,,,,
17467,女主人,,,,,,,,,,,,
17521,第一回,,,,,,,,,,,,
17673,全方位,,,,,,,,,,,,
17685,おちんちん,,,,,,,,,,,,
17688,お言葉ですが,,,,,,,,,,,,
