Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
20,さん,,さん은 일본어에서 사람의 이름 뒤에 붙이는 존칭입니다.,,,,,,,,,,
380,やすい,,,,,,,,,,,,
394,ちゃん,,,,,,,,,,,,
552,げ,,,,,,,,,,,,
791,っぽい,,,,,,,,,,,,
1090,屋,,,,,,,,,,,,
1136,ぶり,,,,,,,,,,,,
1171,にくい,,,,,,,,,,,,
1899,だらけ,,,,,,,,,,,,
2199,発,,,,,,,,,,,,
2349,づらい,,,,,,,,,,,,
2396,かねない,,,,,,,,,,,,
2465,等,,,,,,,,,,,,
2500,がち,,,,,,,,,,,,
2542,かねる,,,,,,,,,,,,
3055,匹,,,,,,,,,,,,
3196,めく,,,,,,,,,,,,
3505,状,,,,,,,,,,,,
3567,っぱなし,,,,,,,,,,,,
3912,っこ,,,,,,,,,,,,
4184,じみる,,,,,,,,,,,,
4324,員,,,,,,,,,,,,
4326,ぶる,,,,,,,,,,,,
4403,らか,,,,,,,,,,,,
4710,っぷり,,,,,,,,,,,,
4855,区,,,,,,,,,,,,
5718,冊,,,,,,,,,,,,
5947,げ,,,,,,,,,,,,
5959,難い,,,,,,,,,,,,
6490,らな,,,,,,,,,,,,
6665,沿い,,,,,,,,,,,,
6758,がかり,,,,,,,,,,,,
6816,がかる,,,,,,,,,,,,
6856,年生,,,,,,,,,,,,
7057,制,,,,,,,,,,,,
7063,番目,,,,,,,,,,,,
7243,料,,,,,,,,,,,,
7298,費,,,,,,,,,,,,
7981,砲,,,,,,,,,,,,
8546,狂,,,,,,,,,,,,
9084,犯,,,,,,,,,,,,
9659,っ子,,,,,,,,,,,,
10027,校,,,,,,,,,,,,
10068,らだ,,,,,,,,,,,,
10129,隻,,,,,,,,,,,,
10783,秘,,,,,,,,,,,,
10793,易い,,,,,,,,,,,,
11706,号室,,,,,,,,,,,,
11719,もどき,,,,,,,,,,,,
11730,択,,,,,,,,,,,,
13710,等,,,,,,,,,,,,
13964,圏,,,,,,,,,,,,
14080,等々,,,,,,,,,,,,
14224,っこない,,,,,,,,,,,,
14238,剤,,,,,,,,,,,,
14485,ぼっち,,,,,,,,,,,,
14781,毎に,,,,,,,,,,,,
15724,展,,,,,,,,,,,,
15737,代目,,,,,,,,,,,,
16986,症,,,,,,,,,,,,
18108,っ放し,,,,,,,,,,,,
18168,らり,,,,,,,,,,,,
19795,織,,,,,,,,,,,,
20474,秘裂,,,,,,,,,,,,
20714,巡,,,,,,,,,,,,
20852,がましい,,,,,,,,,,,,
21305,らら,,,,,,,,,,,,
22127,支,,,,,,,,,,,,
22515,ばむ,,,,,,,,,,,,
22525,属,,,,,,,,,,,,
22922,ったらしい,,,,,,,,,,,,
23650,給,,,,,,,,,,,,
23754,符,,,,,,,,,,,,
24970,監,,,,,,,,,,,,
25129,がち,,,,,,,,,,,,
25667,録,,,,,,,,,,,,
25796,架,,,,,,,,,,,,
26045,宛がう,,,,,,,,,,,,
26059,卒,,,,,,,,,,,,
26140,季,,,,,,,,,,,,
