Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
1,する,,"1. (단독으로 또는 ‘…(を)する’∙‘…を…する’의 꼴로) 하다. 2. 어떤 일∙동작∙행위 등을 하다. 3. 어떤 역할을 하다, 어떤 지위에서 일하다.",,,,,,,,,,
2,ある,,1. 있다. (↔無い) 2. (무게·넓이·높이·거리 따위가) 얼마큼 되다. 3. (다른 동사 앞에 와서) 동작의 지속을 나타내는 말: 죽 …하다.,,,,,,,,,,
4,なる,,1. …이[가] 되다. 2. 다른 것으로[상태가] 되다. 3. 어느 때가 되다.,,,,,,,,,,
6,いる,,"1. 있다(살고 있다, 머무르고 있다). 2. 앉다. (↔立つ) 3. (움직이지 않고) 가만히 있다.",,,,,,,,,,
7,思う,,"1. 생각하다. 2. 헤아려 판단하다. 3. 예상하다, 헤아리다, 상상하다.",,,,,,,,,,
10,言う,,"1. 말하다, 이야기하다, 말로 표현하다. 2. (‘…を…と言う’ 등의 꼴로) …을 …(이)라고 (말)하다[부르다]. (=名付ける) 3. (보통‘いう’로 표기하여)",,,,,,,,,,
16,見る,,1. 보다. 2. 눈으로 파악·확인하다. 3. 조사하다.,,,,,,,,,,
18,くる,,"1. 오다. 2. (거리·시간적으로) 이리로 오다, 다가오다. 3. (어떤 원인으로) 일어나다, 생기다.",,,,,,,,,,
19,くれる,,1. 주다. 2. (남이 호의·친절에서 물건을 이쪽으로) 주다. 3. (내가 상대에게) 주다.,,,,,,,,,,
21,やる,,"1. 보내다. 2. 다니게 하다. (=行かせる) 3. (밖으로∙먼 데로) 보내다, 파견하다.",,,,,,,,,,
24,行く,,"1. 가다. (↔来る) 2. 한 곳에서 딴 곳으로 움직여 가다. 3. 떠나다, 떠나가다.",,,,,,,,,,
30,しまう,,"1. 파하다, 끝나다. 2. 끝내다. 3. 마치다, 파하다.",,,,,,,,,,
31,来る,,"1. 오다. 2. (거리·시간적으로) 이리로 오다, 다가오다. 3. (어떤 원인으로) 일어나다, 생기다.",,,,,,,,,,
38,知る,,"1. 알다. 2. 인식하다. 3. 고어 점유하다, 영유하다.",,,,,,,,,,
41,聞く,,"1. (소리나 이야기를) 듣다. 2. ((聴く)) (귀담아)듣다, (남의 말이나 소리에) 귀를 기울이다, 경청하다. 3. (남의 말을) 듣다, 받아들이다, 따르다, 들어주다.",,,,,,,,,,
45,出る,,"1. 나가다. (↔はいる, 入る) 2. 나아가다, 전진하다, 진출하다. 3. 나오다.",,,,,,,,,,
50,考える,,"1. 생각하다. 2. 고안하다, 안출(案出)하다. 3. 생각하는 갈대((파스칼의 말)).",,,,,,,,,,
57,できる,,"1. (일·무엇이) 생기다. 2. 남녀가 은밀히 맺어지다. 3. 되다, 이루어지다, 완성되다.",,,,,,,,,,
62,待つ,,1. 기다리다. 2. (사람이나 사물·사태가) 빨리 오거나 실현되기를 바라다. 3. 채비를 하고 맞이하다.,,,,,,,,,,
66,持つ,,"1. 쥐다, 들다. 2. 가지다. 3. (어떤 상태가) 오래가다, 지속하다, 지탱하다, 견디어 나가다.",,,,,,,,,,
68,もらう,,"1. (선물 따위를) 받다. 2. (다른 사람에게) 청하여 얻다. 3. 집으로 맞아들이다, 얻다.",,,,,,,,,,
69,入る,,"1. 들다. 2. 들어오다, 들어가다. (↔出る) 3. (손·귀·눈 등이 미치는 범위 안에) 들어오다.",,,,,,,,,,
72,見える,,1. 보이다. 2. 눈에 들어오다[띄다]. 3. 볼 수 있다.,,,,,,,,,,
86,違う,,1. 다르다. (=異なる) 2. 차이가 있다. 3. ‘違える'의 문어형.,,,,,,,,,,
87,使う,,1. 쓰다. 2. (재료·도구·수단으로) 사용하다. 3. (遣う로도) 소비하다.,,,,,,,,,,
99,出す,,"1. 내다. 2. 안에서 밖으로 옮기다, 내놓다, 꺼내다. (↔入れる) 3. 대접·제공하다.",,,,,,,,,,
105,おく,,"1. 두다. 2. 놓다. 3. (이슬·서리가) 앉다, 맺히다.",,,,,,,,,,
107,作る,,"1. 만들다. 2. (재료를 써서) 만들어 내다, 제작하다, 제조하다. 3. 조직하다, 설립하다.",,,,,,,,,,
110,感じる,,"1. 느끼다, (감정이나 느낌을) 가지다. 2. 감동하다, 마음이 움직이다. 3. (자극을 받아) 반응하다.",,,,,,,,,,
111,呼ぶ,,1. 부르다. 2. 소리 내어 부르다. 3. 큰 소리로 외치다.,,,,,,,,,,
112,話す,,"1. 말하다, 이야기하다. 2. (어떤 언어로) 말하다, 외국어를 쓰다. 3. 상담하다, 의논하다.",,,,,,,,,,
115,死ぬ,,"1. 죽다. 2. 숨이 끊어지다, 숨지다. 3. 활동이 멈추다, 자다.",,,,,,,,,,
121,会う,,"1. 만나다. 2. 대면하다, 면회하다. 3. ((遭う∙遇う∙逢う)) 우연히 만나다, 마주치다, 조우하다.",,,,,,,,,,
125,帰る,,"1. 돌아가다, 돌아오다, 왔던 사람이 물러가다. (→戻る) 2. 야구 주자가 홈으로 들어오다. 3. 돌아올 수 없는 사람; 곧, 죽은 사람.",,,,,,,,,,
131,食べる,,1. 먹다. 2. 먹을 것을 먹다. 3. 생활하다. (=暮らす),,,,,,,,,,
138,あげる,,1. 올리다. 2. (위로) 올리다. 3. 얹다.,,,,,,,,,,
139,戻る,,"1. 되돌아가다, 되돌아오다. 2. もどる 参照 3. 자리로 되돌아오다.",,,,,,,,,,
143,続ける,,"1. 계속하다. 2. 연달아 하다. 3. 연결하다, 나란히 놓다.",,,,,,,,,,
150,見せる,,"1. 보이다, 나타내다. 2. 남에게 보도록 하다. 3. (표정·태도·상태 등을) 숨김없이 드러내다.",,,,,,,,,,
151,動く,,"1. 움직이다. 2. (위치·지위 따위가) 옮아가다. 3. (기계 따위가) 작동하다, 돌다.",,,,,,,,,,
155,歩く,,"1. 걷다, 산책하다. 2. (도보나 탈것으로) 여기저기 돌아다니다, 방문하다. 3. 야구 타자가 사사구(四死球)로 출루하다.",,,,,,,,,,
159,終わる,,"1. (일 등이) 끝나다. (↔始まる) 2. (‘…に終わる' ‘…で終わる' 등의 꼴로) (기대했던 결과를 얻지 못하고) …(으)로 끝나다, …에서 끝나다. 3. (끝)마치다. (↔始める)",,,,,,,,,,
160,変わる,,"1. 변(화)하다, 바뀌다. 2. (사물의 형태∙모습이) 지금까지와는 다른 상태가 되다. 3. 연월(年月)이 새로워지다.",,,,,,,,,,
163,始める,,"1. 시작하다, 개시하다. (↔終える, 終わる) 2. (동사나 ‘(さ)せる’ ‘(ら)れる’의 연용형에 붙어 접미어적으로) …하기 시작하다. 3. 처음(으로) 말하다.",,,,,,,,,,
166,向かう,,"1. 향하다. 2. 면하다. 3. (마주) 보다, 대하다.",,,,,,,,,,
168,受ける,,"1. 받다. 2. 주는[오는] 것을 받다. 3. (연극 따위에서) 호평을 받다, 인기를 모으다.",,,,,,,,,,
171,教える,,1. 가르치다. 2. 지식·기능 등을 배워 주다. 3. 자기가 아는 바를 알리다.,,,,,,,,,,
174,立つ,,1. 일어서다. 2. 일어나다. 3. 용기 있는 행동을 일으키다.,,,,,,,,,,
175,おる,,1. (본디 ‘処る’로도) 있다(‘いる’의 약간 문어적인 말씨). 2. (‘…て[で]おる'의 꼴로) …하고 있다. 3. (‘…て[で]おります'의 꼴로) ‘…ています'의 정중한 표현: …하고 있습니다.,,,,,,,,,,
176,やめる,,"1. 그만두다, 중지하다, 끊다, 그치다. 2. 아프다. 3. 괴로워하다.",,,,,,,,,,
183,忘れる,,1. 잊다. 2. 기억이 없어지다. 3. 열중하여 깨닫지 못하다.,,,,,,,,,,
188,信じる,,"1. 믿다. 2. 확신하다, 의심하지 않다. 3. 신뢰하다, 신용하다.",,,,,,,,,,
189,すぎる,,"1. 지나(가)다, 통과하다, 넘다. 2. (시간·기한이) 지나다, 끝나다. 3. (수준·정도를) 넘다, 지나치다.",,,,,,,,,,
191,生きる,,"1. 살다. 2. 생명을 유지하다, 생존하다. (↔死ぬ) 3. 생계를 유지하다, 생활하다, 지내다.",,,,,,,,,,
197,逃げる,,"1. 도망치다, 달아나다, 도피하다. 2. 회피하다, (귀찮은 일 등을) 거절하다. 3. (경기에서) 따라잡히지 않고 이기다.",,,,,,,,,,
201,開く,,"1. 열리다. (↔しまる) 2. (닫힌 것·막힌 것 등이) 열리다. 3. 가게 문이 열리다, 시작[영업]하다.",,,,,,,,,,
208,書く,,1. (글씨·글을) 쓰다. 2. 컴퓨터 기억 장치에 데이터를 기억시키다. (=書き込む) 3. 제발로 걸어다니며 듣고 본 것을 쓰다.,,,,,,,,,,
209,取る,,"1. 잡다. 2. (把る) 들다, 쥐다. 3. (손에 잡고) 다루다.",,,,,,,,,,
214,入れる,,1. 넣다. 2. 속[안]에 집어넣다. 3. 들어가게 하다.,,,,,,,,,,
216,答える,,"1. 대답하다, 답하다. 2. (상대의 부름에) 회답하다, 반응하다. 3. (질문‧문제에 대하여) 해답하다.",,,,,,,,,,
218,置く,,"1. 두다. 2. 놓다. 3. (이슬·서리가) 앉다, 맺히다.",,,,,,,,,,
219,覚える,,1. (자연히) 느끼다. 2. (憶える) 기억하다. 3. 배우다.,,,,,,,,,,
223,残る,,1. 남다. 2. (뒤에) 머무르다. 3. 여분이 생기다.,,,,,,,,,,
224,いけない,,"1. 좋지 않다, 나쁘다. 2. 바람직하지 않다. 3. 성과가 좋지 않다.",,,,,,,,,,
228,守る,,"1. 지키다. 2. 수호하다, 방비하다, 보호하다, 유지하다. 3. 소중히 하다, 어기지 않다.",,,,,,,,,,
235,許す,,"1. 허가[허용]하다, 허락하다. 2. (본디 免す·赦す로도) 용서하다. 3. (본디 免す·赦す로도) (의무 등을) 면하게 하다, 면제하다.",,,,,,,,,,
